"","Year","Index","Q25","Q975","Stratum"
"1",1966,1.61108693055518,0.367635033587714,3.37737464666836,"34_-85"
"2",1967,1.596351380917,0.398425756173789,3.17237559426297,"34_-85"
"3",1968,1.56029403843361,0.401165504690115,3.15539337368624,"34_-85"
"4",1969,1.53763329642941,0.415332020653735,2.9709711422738,"34_-85"
"5",1970,1.52889714912294,0.469244506762593,2.88580680241483,"34_-85"
"6",1971,1.51770221183456,0.484808687719652,2.77337200935287,"34_-85"
"7",1972,1.52332575471915,0.509533802948093,2.81871473387295,"34_-85"
"8",1973,1.54150824984104,0.534181513966068,2.77780955535009,"34_-85"
"9",1974,1.54704637539232,0.655292187961731,2.64848536961002,"34_-85"
"10",1975,1.58443054581326,0.713444858262704,2.78396151070292,"34_-85"
"11",1976,1.65837243799698,0.815533500055756,2.84247649448955,"34_-85"
"12",1977,1.70209285196128,0.836661968607401,2.93635581356943,"34_-85"
"13",1978,1.71746158736291,0.824047300143583,2.83846951045856,"34_-85"
"14",1979,1.7770931959738,0.853150678649881,2.96552741033795,"34_-85"
"15",1980,1.84715862397885,0.900330140082805,3.08214118557239,"34_-85"
"16",1981,1.89354603699684,0.890443796145851,3.17329792030518,"34_-85"
"17",1982,1.88413656868514,1.00769755191815,3.16825091652055,"34_-85"
"18",1983,1.908919545005,0.955985655107377,3.06627671334008,"34_-85"
"19",1984,1.94477303491155,1.07114698455093,3.10456096758071,"34_-85"
"20",1985,1.96967447637739,1.15609062025467,3.14348515808721,"34_-85"
"21",1986,2.02003227736667,1.20186791406417,3.33470375650585,"34_-85"
"22",1987,2.1092603273074,1.26910763774602,3.44603825952107,"34_-85"
"23",1988,2.09921116408302,1.21611846182052,3.29428056149452,"34_-85"
"24",1989,2.0917223360479,1.14863400583686,3.39298656217334,"34_-85"
"25",1990,2.13615967066771,1.1997764746136,3.44695943671347,"34_-85"
"26",1991,2.10727944358933,1.22320410273147,3.32925997370484,"34_-85"
"27",1992,2.10620941974275,1.22372009601388,3.34839024080874,"34_-85"
"28",1993,2.11604696999134,1.19350434184858,3.32866921795331,"34_-85"
"29",1994,2.121560438436,1.17093216551904,3.44750591290721,"34_-85"
"30",1995,2.14809906478248,1.17793524902163,3.27085664284892,"34_-85"
"31",1996,2.17043113233203,1.22782454467369,3.38996221532273,"34_-85"
"32",1997,2.18860919787063,1.12363945440443,3.46477888598829,"34_-85"
"33",1998,2.22796824052235,1.14874177526867,3.60339487188286,"34_-85"
"34",1999,2.24866350519847,1.13198133060744,3.69317464293704,"34_-85"
"35",2000,2.28516641593492,1.21936643677574,3.94761458125455,"34_-85"
"36",2001,2.33671349004498,1.27980546938827,4.17905897111286,"34_-85"
"37",2002,2.42693073990002,1.29436404288076,4.0642936837289,"34_-85"
"38",2003,2.46564161355961,1.37586185903324,4.1482650316366,"34_-85"
"39",2004,2.51099563200467,1.37227507120513,4.67480446999429,"34_-85"
"40",2005,2.55171978895119,1.39236896956368,4.48779721277432,"34_-85"
"41",2006,2.60610681324496,1.44685412700156,4.81776589869403,"34_-85"
"42",2007,2.65754780334825,1.51563932365672,5.06072713957968,"34_-85"
"43",2008,2.62788682010749,1.49773066103451,5.60446558379283,"34_-85"
"44",2009,2.67292868009318,1.4594180101036,4.61331211660562,"34_-85"
"45",2010,2.65958842139734,1.47647510936255,5.35096642853152,"34_-85"
"46",2011,2.6153544114586,1.4264342195713,4.95871317456537,"34_-85"
"47",2012,2.57751480474484,1.41961858100234,4.90452642844664,"34_-85"
"48",2013,2.60751128195995,1.36191638482678,5.50937177214801,"34_-85"
"49",2014,2.5582763439236,1.31649231628885,5.20987445985293,"34_-85"
"50",2015,2.51295066356261,1.17792982252801,5.07700208832266,"34_-85"
"51",2016,2.49016214846017,1.10843372285587,5.08752726960385,"34_-85"
"52",2017,2.47707297947382,1.03598637895967,5.08589237134532,"34_-85"
"53",1966,0.188369367261502,0.000261108832724444,0.928981764750091,"38_-86"
"54",1967,0.172231454755811,0.000306432954755768,0.810642482570449,"38_-86"
"55",1968,0.15569298563519,0.000247862409227945,0.750406886732434,"38_-86"
"56",1969,0.149774182801577,0.000367605376073202,0.709384864076939,"38_-86"
"57",1970,0.148729789989196,0.000753773671990238,0.710357413604032,"38_-86"
"58",1971,0.14572430500524,0.001643087770086,0.710599972067196,"38_-86"
"59",1972,0.157530550708609,0.00344813650901334,0.709136140422353,"38_-86"
"60",1973,0.178615180576366,0.00561141455162474,0.731649872690699,"38_-86"
"61",1974,0.218509028649353,0.0161805397755679,0.765452240863228,"38_-86"
"62",1975,0.247847436931388,0.0137490482948229,0.823770508722127,"38_-86"
