"","Year","Index","Q25","Q975","Stratum"
"1",1966,0.00848990852648461,0.00097737871503249,0.0261215141533881,"DE"
"2",1967,0.00836994535135092,0.00100694277546118,0.0248148758266239,"DE"
"3",1968,0.00836573275989469,0.00105807211470879,0.0247991815047233,"DE"
"4",1969,0.00802762241426973,0.00110806908083856,0.025309156160752,"DE"
"5",1970,0.00798473298965619,0.00114818275871665,0.0246417375216346,"DE"
"6",1971,0.00829569326134695,0.00113787030853905,0.0243983807707027,"DE"
"7",1972,0.00829737220052861,0.0011364832910059,0.0247953865891186,"DE"
"8",1973,0.00823419240992839,0.00123602361246995,0.0256200507350326,"DE"
"9",1974,0.00818194162707692,0.00127275694790325,0.0251416526385421,"DE"
"10",1975,0.00807543773266647,0.00126113581217383,0.0254176963897041,"DE"
"11",1976,0.00830233950093925,0.0013284835105932,0.0268083269485721,"DE"
"12",1977,0.00830865752749717,0.00125999084445022,0.0263259371978147,"DE"
"13",1978,0.00871446980562578,0.00131098775310455,0.0261666879768641,"DE"
"14",1979,0.0089339105955706,0.00143597221016854,0.0253613815578495,"DE"
"15",1980,0.00885762948614799,0.00152030735690813,0.025812200453796,"DE"
"16",1981,0.00886835802778957,0.00148530651317782,0.0251664684541777,"DE"
"17",1982,0.00931924233405893,0.00151097814414754,0.025011778851487,"DE"
"18",1983,0.00808334997517501,0.00149102100608795,0.0236385248925342,"DE"
"19",1984,0.00786891839847392,0.00143525648199292,0.0232903207849041,"DE"
"20",1985,0.00774968167452045,0.00149040878731079,0.0229734066627534,"DE"
"21",1986,0.00769823310955049,0.00151411532472465,0.0219735939321356,"DE"
"22",1987,0.00751084456871137,0.00156744178814421,0.0212627605582624,"DE"
"23",1988,0.00744349865496117,0.00144753432168275,0.0207592175882801,"DE"
"24",1989,0.00729246004092711,0.00136917251597763,0.0204828219565483,"DE"
"25",1990,0.0071508814393506,0.00135852527256346,0.0203131821153465,"DE"
"26",1991,0.00708236775693773,0.00140527872890176,0.01957128848605,"DE"
"27",1992,0.00702176926229164,0.00137015334207006,0.019567380284792,"DE"
"28",1993,0.00689809340058007,0.00130099446676478,0.019170960463126,"DE"
"29",1994,0.00688502747797262,0.00131559776768475,0.0186490703685595,"DE"
"30",1995,0.00674959404605325,0.00126116134993661,0.0178393872727489,"DE"
"31",1996,0.00666921349036011,0.00111570859989363,0.0172876346219455,"DE"
"32",1997,0.00659713703433094,0.00112167132851442,0.0172967512842241,"DE"
"33",1998,0.00660371042931206,0.00114229440084174,0.0172078681007891,"DE"
"34",1999,0.00652731273171356,0.00116158794177021,0.0167401869420714,"DE"
"35",2000,0.00653020263153293,0.00128992986437079,0.0163493311968722,"DE"
"36",2001,0.00653661187643669,0.0012307575770805,0.0161167443882607,"DE"
"37",2002,0.00659770220913644,0.00140416671562274,0.0161337558959169,"DE"
"38",2003,0.00662363404214914,0.00130018548954,0.0161532322716754,"DE"
"39",2004,0.00662086774199314,0.00136947309148951,0.0156694490979996,"DE"
"40",2005,0.00664278473214581,0.00139722945350739,0.016136689955649,"DE"
"41",2006,0.00666532969068783,0.00145121686267409,0.0164066303940659,"DE"
"42",2007,0.00677399138654912,0.0016184022897708,0.0161617947475176,"DE"
"43",2008,0.00684074315460557,0.00173460554815645,0.0165469421814904,"DE"
"44",2009,0.00691632549184412,0.00197050641173482,0.0165295830024524,"DE"
