"","grid2","grid1","dist","pairid","dcat"
"1","49_107","50_110",242,"49_107.50_110","100-300"
"2","48_103","50_110",553,"48_103.50_110","501-700"
"3","48_102","50_110",620,"48_102.50_110","501-700"
"4","48_101","50_110",688,"48_101.50_110","501-700"
"5","48_100","50_110",757,"48_100.50_110","701-900"
"6","47_108","50_110",364,"47_108.50_110","301-500"
"7","47_103","50_110",611,"47_103.50_110","501-700"
"8","47_102","50_110",673,"47_102.50_110","501-700"
"9","47_101","50_110",738,"47_101.50_110","701-900"
"10","47_100","50_110",803,"47_100.50_110","701-900"
"11","47_99","50_110",870,"47_99.50_110","701-900"
"12","47_98","50_110",938,"47_98.50_110","901-1100"
"13","46_103","50_110",682,"46_103.50_110","501-700"
"14","46_102","50_110",739,"46_102.50_110","701-900"
"15","46_101","50_110",799,"46_101.50_110","701-900"
"16","46_100","50_110",861,"46_100.50_110","701-900"
"17","46_99","50_110",925,"46_99.50_110","901-1100"
"18","45_105","50_110",669,"45_105.50_110","501-700"
"19","45_104","50_110",713,"45_104.50_110","701-900"
"20","45_103","50_110",762,"45_103.50_110","701-900"
"21","45_102","50_110",815,"45_102.50_110","701-900"
"22","45_101","50_110",871,"45_101.50_110","701-900"
"23","45_100","50_110",929,"45_100.50_110","901-1100"
"24","45_99","50_110",990,"45_99.50_110","901-1100"
"25","45_98","50_110",1052,"45_98.50_110","901-1100"
"26","44_102","50_110",898,"44_102.50_110","701-900"
"27","44_101","50_110",950,"44_101.50_110","901-1100"
"28","44_100","50_110",1005,"44_100.50_110","901-1100"
"29","44_99","50_110",1062,"44_99.50_110","901-1100"
"30","44_98","50_110",1121,"44_98.50_110","1101-1300"
"31","44_97","50_110",1182,"44_97.50_110","1101-1300"
"32","44_89","50_110",1710,"44_89.50_110",">1500"
"33","43_102","50_110",987,"43_102.50_110","901-1100"
"34","43_100","50_110",1086,"43_100.50_110","901-1100"
"35","43_99","50_110",1140,"43_99.50_110","1101-1300"
"36","43_97","50_110",1255,"43_97.50_110","1101-1300"
"37","43_89","50_110",1768,"43_89.50_110",">1500"
"38","42_103","50_110",1038,"42_103.50_110","901-1100"
"39","42_102","50_110",1079,"42_102.50_110","901-1100"
"40","42_101","50_110",1124,"42_101.50_110","1101-1300"
"41","42_99","50_110",1224,"42_99.50_110","1101-1300"
"42","42_98","50_110",1277,"42_98.50_110","1101-1300"
"43","42_95","50_110",1450,"42_95.50_110","1301-1500"
"44","42_90","50_110",1766,"42_90.50_110",">1500"
"45","42_89","50_110",1832,"42_89.50_110",">1500"
"46","41_103","50_110",1137,"41_103.50_110","1101-1300"
"47","41_102","50_110",1175,"41_102.50_110","1101-1300"
"48","41_101","50_110",1217,"41_101.50_110","1101-1300"
"49","41_100","50_110",1263,"41_100.50_110","1101-1300"
"50","41_92","50_110",1709,"41_92.50_110",">1500"
"51","41_90","50_110",1835,"41_90.50_110",">1500"
"52","41_76","50_110",2788,"41_76.50_110",">1500"
"53","40_103","50_110",1237,"40_103.50_110","1101-1300"
"54","40_102","50_110",1273,"40_102.50_110","1101-1300"
"55","40_101","50_110",1313,"40_101.50_110","1301-1500"
"56","40_99","50_110",1402,"40_99.50_110","1301-1500"
"57","40_96","50_110",1555,"40_96.50_110",">1500"
"58","40_94","50_110",1667,"40_94.50_110",">1500"
"59","40_92","50_110",1785,"40_92.50_110",">1500"
"60","40_91","50_110",1846,"40_91.50_110",">1500"
"61","40_90","50_110",1908,"40_90.50_110",">1500"
"62","40_89","50_110",1971,"40_89.50_110",">1500"
"63","40_84","50_110",2299,"40_84.50_110",">1500"
"64","40_83","50_110",2366,"40_83.50_110",">1500"
"65","40_79","50_110",2640,"40_79.50_110",">1500"
"66","40_77","50_110",2779,"40_77.50_110",">1500"
"67","40_76","50_110",2849,"40_76.50_110",">1500"
"68","40_75","50_110",2919,"40_75.50_110",">1500"
"69","39_103","50_110",1340,"39_103.50_110","1301-1500"
"70","39_102","50_110",1374,"39_102.50_110","1301-1500"
"71","39_101","50_110",1411,"39_101.50_110","1301-1500"
"72","39_100","50_110",1452,"39_100.50_110","1301-1500"
"73","39_99","50_110",1495,"39_99.50_110","1301-1500"
"74","39_98","50_110",1542,"39_98.50_110",">1500"
