"","pairid","state1","state2","dist","dcat","reg"
"2","AR-AZ","AZ","AR",1762,">1500","west"
"3","CA-AZ","AZ","CA",790,"701-900","west"
"4","CT-AZ","AZ","CT",3486,">1500","both"
"5","FL-AZ","AZ","FL",2831,">1500","both"
"6","GA-AZ","AZ","GA",2621,">1500","both"
"7","ID-AZ","AZ","ID",1150,"1101-1300","west"
"8","IL-AZ","AZ","IL",2089,">1500","both"
"9","IA-AZ","AZ","IA",1805,">1500","west"
"10","KS-AZ","AZ","KS",1278,"1101-1300","west"
"11","LA-AZ","AZ","LA",1878,">1500","west"
"12","MD-AZ","AZ","MD",3144,">1500","both"
"13","MN-AZ","AZ","MN",1982,">1500","west"
"14","MS-AZ","AZ","MS",2047,">1500","both"
"15","MO-AZ","AZ","MO",1777,">1500","west"
"16","NE-AZ","AZ","NE",1314,"1301-1500","west"
"17","NV-AZ","AZ","NV",717,"701-900","west"
"18","NJ-AZ","AZ","NJ",3323,">1500","both"
"19","NY-AZ","AZ","NY",3264,">1500","both"
"20","ND-AZ","AZ","ND",1735,">1500","west"
"21","OH-AZ","AZ","OH",2633,">1500","both"
"22","PA-AZ","AZ","PA",3059,">1500","both"
"23","SC-AZ","AZ","SC",2829,">1500","both"
"24","SD-AZ","AZ","SD",1493,"1301-1500","west"
"25","TX-AZ","AZ","TX",1193,"1101-1300","west"
"26","UT-AZ","AZ","UT",558,"501-700","west"
"27","VA-AZ","AZ","VA",2966,">1500","both"
"28","WY-AZ","AZ","WY",1030,"901-1100","west"
"29","PR-AZ","AZ","PR",4806,">1500","west"
"30","OR-AZ","AZ","OR",1316,"1301-1500","west"
"31","WV-AZ","AZ","WV",2811,">1500","both"
"32","AL-AZ","AZ","AL",2307,">1500","both"
"33","AK-AZ","AZ","AK",4345,">1500","west"
"34","CO-AZ","AZ","CO",756,"701-900","west"
"35","DE-AZ","AZ","DE",3254,">1500","both"
"36","DC-AZ","AZ","DC",3123,">1500","west"
"37","HI-AZ","AZ","HI",4608,">1500","west"
"38","IN-AZ","AZ","IN",2332,">1500","both"
"39","KY-AZ","AZ","KY",2400,">1500","both"
"40","ME-AZ","AZ","ME",3785,">1500","both"
"41","MA-AZ","AZ","MA",3562,">1500","both"
"42","MI-AZ","AZ","MI",2544,">1500","both"
"43","MT-AZ","AZ","MT",1425,"1301-1500","west"
"44","NH-AZ","AZ","NH",3587,">1500","both"
"45","NM-AZ","AZ","NM",511,"501-700","west"
"46","NC-AZ","AZ","NC",2942,">1500","both"
"47","OK-AZ","AZ","OK",1300,"1101-1300","west"
"48","VI-AZ","AZ","VI",4989,">1500","west"
"49","RI-AZ","AZ","RI",3581,">1500","both"
"50","TN-AZ","AZ","TN",2310,">1500","both"
"51","VT-AZ","AZ","VT",3503,">1500","both"
"52","WA-AZ","AZ","WA",1628,">1500","west"
"53","WI-AZ","AZ","WI",2178,">1500","both"
"54","AS-AZ","AZ","AS",8238,">1500","west"
"55","GU-AZ","AZ","GU",10388,">1500","west"
"56","MP-AZ","AZ","MP",10188,">1500","west"
"57","AZ-AR","AR","AZ",1762,">1500","west"
"59","CA-AR","AR","CA",2453,">1500","west"
"60","CT-AR","AR","CT",1874,">1500","both"
"61","FL-AR","AR","FL",1168,"1101-1300","both"
"62","GA-AR","AR","GA",869,"701-900","both"
"63","ID-AR","AR","ID",2169,">1500","west"
"64","IL-AR","AR","IL",641,"501-700","both"
"65","IA-AR","AR","IA",802,"701-900","west"
"66","KS-AR","AR","KS",663,"501-700","west"
"67","LA-AR","AR","LA",429,"301-500","west"
"68","MD-AR","AR","MD",1467,"1301-1500","both"
"69","MN-AR","AR","MN",1278,"1101-1300","west"
"70","MS-AR","AR","MS",350,"301-500","both"
"71","MO-AR","AR","MO",385,"301-500","west"
"72","NE-AR","AR","NE",978,"901-1100","west"
"73","NV-AR","AR","NV",2201,">1500","west"
"74","NJ-AR","AR","NJ",1673,">1500","both"
"75","NY-AR","AR","NY",1714,">1500","both"
"76","ND-AR","AR","ND",1546,">1500","west"
"77","OH-AR","AR","OH",1040,"901-1100","both"
"78","PA-AR","AR","PA",1446,"1301-1500","both"
"79","SC-AR","AR","SC",1066,"901-1100","both"
"80","SD-AR","AR","SD",1251,"1101-1300","west"
"81","TX-AR","AR","TX",747,"701-900","west"
"82","UT-AR","AR","UT",1775,">1500","west"
"83","VA-AR","AR","VA",1252,"1101-1300","both"
"84","WY-AR","AR","WY",1585,">1500","west"
"85","PR-AR","AR","PR",3162,">1500","west"
"86","OR-AR","AR","OR",2605,">1500","west"
"87","WV-AR","AR","WV",1133,"1101-1300","both"
"88","AL-AR","AR","AL",570,"501-700","both"
"89","AK-AR","AR","AK",5152,">1500","west"
"90","CO-AR","AR","CO",1252,"1101-1300","west"
"91","DE-AR","AR","DE",1573,">1500","both"
"92","DC-AR","AR","DC",1442,"1301-1500","west"
"93","HI-AR","AR","HI",6369,">1500","west"
"94","IN-AR","AR","IN",779,"701-900","both"
"95","KY-AR","AR","KY",706,"701-900","both"
"96","ME-AR","AR","ME",2282,">1500","both"
"97","MA-AR","AR","MA",1967,">1500","both"
"98","MI-AR","AR","MI",1167,"1101-1300","both"
"99","MT-AR","AR","MT",1970,">1500","west"
"100","NH-AR","AR","NH",2039,">1500","both"
"101","NM-AR","AR","NM",1253,"1101-1300","west"
"102","NC-AR","AR","NC",1192,"1101-1300","both"
"103","OK-AR","AR","OK",468,"301-500","west"
"104","VI-AR","AR","VI",3335,">1500","west"
"105","RI-AR","AR","RI",1967,">1500","both"
"106","TN-AR","AR","TN",564,"501-700","both"
"107","VT-AR","AR","VT",1975,">1500","both"
"108","WA-AR","AR","WA",2706,">1500","west"
"109","WI-AR","AR","WI",1100,"901-1100","both"
"110","AS-AR","AR","AS",9874,">1500","west"
"111","GU-AR","AR","GU",11958,">1500","west"
"112","MP-AR","AR","MP",11748,">1500","west"
"113","AZ-CA","CA","AZ",790,"701-900","west"
"114","AR-CA","CA","AR",2453,">1500","west"
"116","CT-CA","CA","CT",4016,">1500","both"
"117","FL-CA","CA","FL",3574,">1500","both"
"118","GA-CA","CA","GA",3322,">1500","both"
"119","ID-CA","CA","ID",895,"701-900","west"
"120","IL-CA","CA","IL",2652,">1500","both"
