ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
2266,27,1,26,6,latlong,1,8,1.12985254,10,38-104,25,1,21,1,6,4,1988,17-126
NA,NA,NA,NA,NA,NA,1,29,0.934558708,28,38-104,25,1,22,0,6,3,1989,17-126
NA,NA,NA,NA,NA,NA,1,12,0.762890855,84,38-104,25,1,23,0,6,23,1990,17-126
NA,NA,NA,NA,NA,NA,1,28,0.613352067,29,38-104,25,1,24,0,6,14,1991,17-126
NA,NA,NA,NA,NA,NA,1,22,0.484453097,5,38-104,25,1,25,0,6,6,1992,17-126
NA,NA,NA,NA,NA,NA,1,8,0.374958082,100,38-104,25,1,26,0,6,5,1993,17-126
NA,NA,NA,NA,NA,NA,1,20,0.283936522,0,40-104,27,1,2,1,6,27,1969,17-13
NA,NA,NA,NA,NA,NA,0.727272727,24,0.210476096,0,40-104,27,1,3,0,6,26,1970,17-13
NA,NA,NA,NA,NA,NA,1,25,0.153449632,7,40-104,27,2,4,1,6,24,1971,17-13
NA,NA,NA,NA,NA,NA,1,15,0.110404032,22,40-104,27,2,5,0,6,21,1972,17-13
NA,NA,NA,NA,NA,NA,1,11,0.078380892,0,40-104,27,2,6,0,6,21,1973,17-13
NA,NA,NA,NA,NA,NA,0.5,17,0.054428051,55,40-104,27,2,7,0,6,24,1974,17-13
NA,NA,NA,NA,NA,NA,0.875,15,0.036223765,11,40-104,27,2,8,0,6,26,1975,17-13
NA,NA,NA,NA,NA,NA,0.875,19,0.02255698,3,40-104,27,2,9,0,6,21,1976,17-13
NA,NA,NA,NA,NA,NA,1,19,0.012329702,2,40-104,27,2,10,0,6,22,1977,17-13
NA,NA,NA,NA,NA,NA,1,19,0.004500655,2,40-104,27,2,11,0,6,30,1978,17-13
NA,NA,NA,NA,NA,NA,1,25,-0.001414221,1,40-104,27,2,12,0,6,29,1979,17-13
NA,NA,NA,NA,NA,NA,0.636363636,19,-0.005582718,0,40-104,27,2,13,0,6,27,1980,17-13
NA,NA,NA,NA,NA,NA,0.9,22,-0.008168167,8,40-104,27,2,14,0,6,26,1981,17-13
NA,NA,NA,NA,NA,NA,1,18,-0.008912388,1,40-104,27,2,16,0,7,6,1983,17-13
NA,NA,NA,NA,NA,NA,1,19,-0.006451148,1,40-104,27,2,17,0,6,26,1984,17-13
NA,NA,NA,NA,NA,NA,0.285714286,8,0.000759012,1,40-104,27,2,18,0,6,19,1985,17-13
NA,NA,NA,NA,NA,NA,1,27,0.014260105,4,40-104,27,2,19,0,6,25,1986,17-13
NA,NA,NA,NA,NA,NA,1,18,0.03556983,1,40-104,27,2,20,0,6,19,1987,17-13
NA,NA,NA,NA,NA,NA,1,23,0.066185713,0,40-104,27,2,21,0,6,30,1988,17-13
NA,NA,NA,NA,NA,NA,0.777777778,14,0.10760467,0,40-104,27,2,22,0,6,23,1989,17-13
NA,NA,NA,NA,NA,NA,0.583333333,17,0.070206772,3,40-104,27,2,23,0,6,26,1990,17-13
NA,NA,NA,NA,NA,NA,NA,NA,0.1214964,3,40-104,27,2,24,0,6,29,1991,17-13
NA,NA,NA,NA,NA,NA,NA,NA,0.160926778,3,40-104,27,2,25,0,7,5,1992,17-13
NA,NA,NA,NA,NA,NA,NA,NA,0.189509793,2,40-104,27,2,26,0,6,24,1993,17-13
NA,NA,NA,NA,NA,NA,NA,NA,0.208230478,0,40-104,27,3,1,1,6,27,1968,17-13
NA,NA,NA,NA,NA,NA,NA,NA,0.217186596,0,40-102,26,1,2,1,6,28,1969,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.215406619,26,40-102,26,1,3,0,6,25,1970,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.201855357,59,40-102,26,2,4,1,6,22,1971,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.176225781,65,40-102,26,2,5,0,6,22,1972,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.142704546,53,40-102,26,2,6,0,6,20,1973,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.107190833,111,40-102,26,2,7,0,6,25,1974,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.075559726,63,40-102,26,2,8,0,6,24,1975,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.051293298,70,40-102,26,2,9,0,6,22,1976,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.033657531,51,40-102,26,2,10,0,6,23,1977,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.021489241,51,40-102,26,2,11,0,6,29,1978,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.01364366,32,40-102,26,2,12,0,6,26,1979,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.009156896,49,40-102,26,2,13,0,6,26,1980,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.007167721,43,40-102,26,2,14,0,6,25,1981,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.006815186,10,40-102,26,2,16,0,7,7,1983,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.006779346,28,40-102,26,2,17,0,6,29,1984,17-14
NA,NA,NA,NA,NA,NA,NA,NA,0.004535855,20,40-102,26,2,18,0,6,20,1985,17-14
NA,NA,NA,NA,NA,NA,NA,NA,-0.002634796,43,40-102,26,2,19,0,6,26,1986,17-14
