ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
2297,25,1,26,6,latlong,0.368421053,22,1.12985254,3,40-104,1,1,6,1,6,5,1999,17-205
NA,NA,NA,NA,NA,NA,0.357142857,16,0.934558708,4,40-104,1,1,7,0,6,8,2000,17-205
NA,NA,NA,NA,NA,NA,0.875,15,0.762890855,1,40-104,1,1,8,0,6,8,2001,17-205
NA,NA,NA,NA,NA,NA,0.625,16,0.613352067,2,40-104,1,1,9,0,6,2,2002,17-205
NA,NA,NA,NA,NA,NA,1,25,0.484453097,7,40-104,1,1,10,0,6,1,2003,17-205
NA,NA,NA,NA,NA,NA,0.888888889,28,0.374958082,1,40-104,1,1,12,0,6,11,2005,17-205
NA,NA,NA,NA,NA,NA,0.875,27,0.283936522,3,40-104,1,1,13,0,6,4,2006,17-205
NA,NA,NA,NA,NA,NA,0.285714286,7,0.210476096,3,40-104,1,1,14,0,6,3,2007,17-205
NA,NA,NA,NA,NA,NA,0.333333333,5,0.153449632,3,40-104,1,1,15,0,6,1,2008,17-205
NA,NA,NA,NA,NA,NA,0.375,5,0.110404032,2,40-104,1,1,16,0,5,31,2009,17-205
NA,NA,NA,NA,NA,NA,0.75,13,0.078380892,1,40-104,1,1,17,0,5,30,2010,17-205
NA,NA,NA,NA,NA,NA,1,29,0.054428051,0,40-104,1,1,18,0,6,4,2011,17-205
NA,NA,NA,NA,NA,NA,1,27,0.036223765,0,40-104,1,1,19,0,6,3,2012,17-205
NA,NA,NA,NA,NA,NA,0.875,27,0.02255698,0,40-104,1,1,20,0,6,3,2013,17-205
NA,NA,NA,NA,NA,NA,0.625,8,0.012329702,4,40-104,1,1,21,0,6,10,2014,17-205
NA,NA,NA,NA,NA,NA,0.428571429,5,0.004500655,1,40-104,1,1,22,0,6,7,2015,17-205
NA,NA,NA,NA,NA,NA,0.777777778,17,-0.001414221,0,40-104,1,1,23,0,6,5,2016,17-205
NA,NA,NA,NA,NA,NA,0.176470588,8,-0.005582718,0,40-104,1,1,24,0,6,4,2017,17-205
NA,NA,NA,NA,NA,NA,0.444444444,7,-0.008168167,0,40-104,1,1,25,0,6,5,2018,17-205
