ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
21248,115,1,26,6,latlong,0.625,21,1.12985254,0,36-122,18,1,6,1,5,19,1973,14-108
NA,NA,NA,NA,NA,NA,0.833333333,20,0.934558708,0,36-122,18,1,7,0,5,18,1974,14-108
NA,NA,NA,NA,NA,NA,0.727272727,25,0.762890855,0,36-122,18,1,8,0,5,17,1975,14-108
NA,NA,NA,NA,NA,NA,0.833333333,22,0.613352067,0,36-122,18,1,9,0,5,15,1976,14-108
NA,NA,NA,NA,NA,NA,0.25,9,0.484453097,0,36-122,18,1,11,0,6,20,1978,14-108
NA,NA,NA,NA,NA,NA,1,21,0.374958082,0,36-122,18,1,12,0,5,19,1979,14-108
NA,NA,NA,NA,NA,NA,0.857142857,17,0.283936522,0,36-122,18,1,13,0,5,24,1980,14-108
NA,NA,NA,NA,NA,NA,0.846153846,34,0.210476096,0,36-122,18,1,14,0,5,25,1981,14-108
NA,NA,NA,NA,NA,NA,0.888888889,57,0.153449632,0,36-122,18,1,15,0,5,29,1982,14-108
NA,NA,NA,NA,NA,NA,0.545454545,35,0.110404032,0,36-122,18,1,16,0,5,28,1983,14-108
NA,NA,NA,NA,NA,NA,0.5,26,0.078380892,1,36-122,18,1,17,0,5,19,1984,14-108
NA,NA,NA,NA,NA,NA,0.2,6,0.054428051,0,36-122,18,1,18,0,5,23,1985,14-108
NA,NA,NA,NA,NA,NA,0.818181818,34,0.036223765,0,36-122,18,1,19,0,5,22,1986,14-108
NA,NA,NA,NA,NA,NA,1,27,0.02255698,0,36-122,18,1,20,0,5,23,1987,14-108
NA,NA,NA,NA,NA,NA,0.9,22,0.012329702,0,36-122,18,1,21,0,5,27,1988,14-108
NA,NA,NA,NA,NA,NA,1,18,0.004500655,0,36-122,18,1,22,0,5,25,1989,14-108
NA,NA,NA,NA,NA,NA,0.428571429,6,-0.001414221,0,36-122,18,1,23,0,5,24,1990,14-108
NA,NA,NA,NA,NA,NA,0.6,8,-0.005582718,0,36-122,18,1,24,0,5,30,1991,14-108
NA,NA,NA,NA,NA,NA,0.785714286,29,-0.008168167,0,36-122,18,1,25,0,5,21,1992,14-108
NA,NA,NA,NA,NA,NA,0.875,40,-0.008912388,0,36-122,18,1,26,0,5,20,1993,14-108
NA,NA,NA,NA,NA,NA,0.857142857,34,-0.006451148,0,38-124,32,1,20,1,6,7,1987,14-14
NA,NA,NA,NA,NA,NA,0.529411765,30,0.000759012,0,38-124,32,2,8,1,6,8,1975,14-14
NA,NA,NA,NA,NA,NA,0.555555556,37,0.014260105,0,38-124,32,2,9,0,6,6,1976,14-14
NA,NA,NA,NA,NA,NA,0.8,50,0.03556983,8,38-124,32,2,10,0,6,5,1977,14-14
NA,NA,NA,NA,NA,NA,0.538461538,32,0.066185713,5,38-124,32,2,12,0,6,3,1979,14-14
NA,NA,NA,NA,NA,NA,0.545454545,19,0.10760467,3,38-124,32,2,13,0,6,8,1980,14-14
NA,NA,NA,NA,NA,NA,0.692307692,25,0.070206772,2,38-124,32,2,14,0,6,14,1981,14-14
NA,NA,NA,NA,NA,NA,0.923076923,31,0.1214964,3,38-124,32,2,15,0,6,6,1982,14-14
NA,NA,NA,NA,NA,NA,1,27,0.160926778,1,38-124,32,2,16,0,6,5,1983,14-14
NA,NA,NA,NA,NA,NA,1,18,0.189509793,1,38-124,32,2,17,0,5,27,1984,14-14
NA,NA,NA,NA,NA,NA,0.636363636,17,0.208230478,0,38-124,32,2,18,0,6,9,1985,14-14
NA,NA,NA,NA,NA,NA,1,5,0.217186596,4,38-124,32,2,19,0,6,8,1986,14-14
NA,NA,NA,NA,NA,NA,0.972222222,130,0.215406619,0,38-124,32,2,21,0,5,22,1988,14-14
NA,NA,NA,NA,NA,NA,0.842105263,62,0.201855357,0,38-124,32,2,22,0,5,29,1989,14-14
NA,NA,NA,NA,NA,NA,0.916666667,58,0.176225781,0,38-124,32,2,23,0,6,10,1990,14-14
NA,NA,NA,NA,NA,NA,0.32,14,0.142704546,0,38-124,32,2,24,0,6,2,1991,14-14
NA,NA,NA,NA,NA,NA,0.9,47,0.107190833,0,38-124,32,2,25,0,6,7,1992,14-14
NA,NA,NA,NA,NA,NA,1,34,0.075559726,0,38-124,32,2,26,0,6,6,1993,14-14
NA,NA,NA,NA,NA,NA,0.947368421,57,0.051293298,0,38-124,32,3,1,1,6,2,1968,14-14
NA,NA,NA,NA,NA,NA,0.875,50,0.033657531,0,38-124,32,3,2,0,6,8,1969,14-14
NA,NA,NA,NA,NA,NA,1,25,0.021489241,0,38-124,32,3,3,0,6,14,1970,14-14
NA,NA,NA,NA,NA,NA,1,30,0.01364366,0,38-124,32,3,4,0,6,6,1971,14-14
NA,NA,NA,NA,NA,NA,1,27,0.009156896,0,38-124,32,3,6,0,6,17,1973,14-14
NA,NA,NA,NA,NA,NA,1,26,0.007167721,0,38-124,32,3,7,0,5,31,1974,14-14
NA,NA,NA,NA,NA,NA,1,39,0.006815186,3,38-124,32,4,24,1,6,11,1991,14-193
NA,NA,NA,NA,NA,NA,1,16,0.006779346,0,38-124,32,5,5,1,6,11,1972,14-193
NA,NA,NA,NA,NA,NA,0.666666667,18,0.004535855,0,38-124,32,5,6,0,6,3,1973,14-193
NA,NA,NA,NA,NA,NA,1,7,-0.002634796,0,38-124,32,5,7,0,6,8,1974,14-193
NA,NA,NA,NA,NA,NA,0.882352941,141,-0.017399011,1,38-124,32,5,8,0,6,8,1975,14-193
NA,NA,NA,NA,NA,NA,0.976744186,131,-0.041531217,0,38-124,32,5,9,0,6,6,1976,14-193
NA,NA,NA,NA,NA,NA,0.794871795,66,-0.076065705,5,38-124,32,5,10,0,6,5,1977,14-193
NA,NA,NA,NA,NA,NA,0.814814815,55,-0.122014361,6,38-124,32,5,11,0,5,29,1978,14-193
NA,NA,NA,NA,NA,NA,1,65,0.000674635,2,38-124,32,5,12,0,6,9,1979,14-193
NA,NA,NA,NA,NA,NA,0.823529412,30,0.023713489,0,38-124,32,5,13,0,5,25,1980,14-193
NA,NA,NA,NA,NA,NA,1,46,0.041661811,2,38-124,32,5,14,0,6,6,1981,14-193
NA,NA,NA,NA,NA,NA,1,60,0.054949903,0,38-124,32,5,15,0,6,12,1982,14-193
NA,NA,NA,NA,NA,NA,1,44,0.064032492,0,38-124,32,5,17,0,6,27,1984,14-193
NA,NA,NA,NA,NA,NA,1,35,0.070171091,0,38-124,32,5,18,0,6,1,1985,14-193
NA,NA,NA,NA,NA,NA,1,39,0.075599521,0,38-124,32,5,19,0,6,3,1986,14-193
