ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
34312,196,1,26,6,latlong,0.75,25,1.12985254,22,34-116,23,1,1,1,5,27,1994,14-106
NA,NA,NA,NA,NA,NA,0.5625,24,0.934558708,13,34-116,23,1,2,0,5,20,1995,14-106
NA,NA,NA,NA,NA,NA,0.133333333,4,0.762890855,21,34-116,23,1,5,0,6,17,1998,14-106
NA,NA,NA,NA,NA,NA,0.545454545,18,0.613352067,0,34-116,23,1,6,0,6,27,1999,14-106
NA,NA,NA,NA,NA,NA,1,23,0.484453097,3,34-116,23,1,7,0,6,25,2000,14-106
NA,NA,NA,NA,NA,NA,0.454545455,10,0.374958082,0,34-116,23,1,8,0,6,22,2001,14-106
NA,NA,NA,NA,NA,NA,0.3,8,0.283936522,1,34-116,23,1,9,0,6,23,2002,14-106
NA,NA,NA,NA,NA,NA,0.857142857,17,0.210476096,3,34-116,23,1,10,0,6,22,2003,14-106
NA,NA,NA,NA,NA,NA,0.5,16,0.153449632,10,34-116,23,1,11,0,6,15,2004,14-106
NA,NA,NA,NA,NA,NA,0.4,12,0.110404032,7,34-116,23,1,12,0,5,28,2005,14-106
NA,NA,NA,NA,NA,NA,1,7,0.078380892,15,34-116,23,1,13,0,6,4,2006,14-106
NA,NA,NA,NA,NA,NA,0.714285714,15,0.054428051,4,34-116,23,1,15,0,6,1,2008,14-106
NA,NA,NA,NA,NA,NA,0.391304348,24,0.036223765,2,34-116,23,1,16,0,5,31,2009,14-106
NA,NA,NA,NA,NA,NA,0.37037037,29,0.02255698,7,34-116,23,2,17,1,6,18,2010,14-106
NA,NA,NA,NA,NA,NA,0.818181818,24,0.012329702,5,34-116,23,2,18,0,6,4,2011,14-106
NA,NA,NA,NA,NA,NA,1,22,0.004500655,14,34-116,23,2,19,0,5,19,2012,14-106
NA,NA,NA,NA,NA,NA,1,31,-0.001414221,4,34-116,23,2,20,0,5,19,2013,14-106
NA,NA,NA,NA,NA,NA,0.7,19,-0.005582718,3,34-116,23,2,21,0,5,18,2014,14-106
NA,NA,NA,NA,NA,NA,0.916666667,29,-0.008168167,10,34-116,23,2,22,0,5,17,2015,14-106
NA,NA,NA,NA,NA,NA,0.555555556,17,-0.008912388,5,34-116,23,2,23,0,5,25,2016,14-106
NA,NA,NA,NA,NA,NA,0.454545455,10,-0.006451148,2,34-116,23,2,24,0,5,28,2017,14-106
NA,NA,NA,NA,NA,NA,0.545454545,20,0.000759012,5,34-116,23,2,25,0,5,20,2018,14-106
NA,NA,NA,NA,NA,NA,0.722222222,19,0.014260105,4,34-116,23,2,26,0,6,17,2019,14-106
NA,NA,NA,NA,NA,NA,0.411764706,16,0.03556983,0,34-116,23,3,20,1,6,22,2013,14-107
NA,NA,NA,NA,NA,NA,0.444444444,9,0.066185713,0,34-116,23,3,21,0,6,1,2014,14-107
NA,NA,NA,NA,NA,NA,0.333333333,9,0.10760467,1,34-116,23,3,23,0,6,18,2016,14-107
NA,NA,NA,NA,NA,NA,0.555555556,31,0.070206772,13,36-116,39,1,1,1,5,20,1994,14-109
NA,NA,NA,NA,NA,NA,0.217391304,15,0.1214964,5,36-116,39,1,2,0,5,26,1995,14-109
NA,NA,NA,NA,NA,NA,0.6,29,0.160926778,16,36-116,39,1,3,0,5,24,1996,14-109
NA,NA,NA,NA,NA,NA,0.466666667,12,0.189509793,29,36-116,39,1,4,0,5,21,1997,14-109
NA,NA,NA,NA,NA,NA,0.785714286,36,0.208230478,3,36-116,39,1,5,0,5,23,1998,14-109
NA,NA,NA,NA,NA,NA,0.916666667,41,0.217186596,12,34-118,24,1,4,1,5,16,1997,14-112
NA,NA,NA,NA,NA,NA,1,43,0.215406619,2,34-118,24,2,19,1,5,28,2012,14-112
NA,NA,NA,NA,NA,NA,1,22,0.201855357,0,34-118,24,2,20,0,5,26,2013,14-112
NA,NA,NA,NA,NA,NA,0.7,11,0.176225781,5,34-118,24,2,21,0,5,17,2014,14-112
NA,NA,NA,NA,NA,NA,0.909090909,33,0.142704546,2,34-118,24,2,22,0,5,25,2015,14-112
NA,NA,NA,NA,NA,NA,0.75,20,0.107190833,4,34-118,24,2,23,0,5,22,2016,14-112
NA,NA,NA,NA,NA,NA,1,22,0.075559726,0,34-118,24,2,24,0,5,23,2017,14-112
NA,NA,NA,NA,NA,NA,1,21,0.051293298,0,34-118,24,2,25,0,6,27,2018,14-112
NA,NA,NA,NA,NA,NA,0.7,32,0.033657531,3,34-118,24,3,2,1,5,19,1995,14-112
NA,NA,NA,NA,NA,NA,0.8125,26,0.021489241,41,34-118,24,4,11,1,5,17,2004,14-112
NA,NA,NA,NA,NA,NA,0.857142857,16,0.01364366,5,34-118,24,4,13,0,6,4,2006,14-112
NA,NA,NA,NA,NA,NA,0.733333333,22,0.009156896,9,34-118,24,4,14,0,6,1,2007,14-112
NA,NA,NA,NA,NA,NA,0.75,39,0.007167721,15,34-118,24,4,15,0,5,31,2008,14-112
NA,NA,NA,NA,NA,NA,0.352941176,10,0.006815186,3,34-118,24,4,16,0,6,9,2009,14-112
NA,NA,NA,NA,NA,NA,0.4375,20,0.006779346,4,34-118,24,4,17,0,5,30,2010,14-112
NA,NA,NA,NA,NA,NA,0.857142857,43,0.004535855,0,34-120,25,1,19,1,6,30,2012,14-114
NA,NA,NA,NA,NA,NA,0.333333333,8,-0.002634796,0,34-120,25,1,20,0,6,30,2013,14-114
NA,NA,NA,NA,NA,NA,0.277777778,10,-0.017399011,3,34-120,25,1,21,0,6,23,2014,14-114
NA,NA,NA,NA,NA,NA,0.666666667,24,-0.041531217,0,34-120,25,2,7,1,6,18,2000,14-114
NA,NA,NA,NA,NA,NA,0.769230769,32,-0.076065705,0,34-120,25,3,1,1,6,9,1994,14-114
NA,NA,NA,NA,NA,NA,1,24,-0.122014361,0,34-120,25,3,2,0,6,18,1995,14-114
NA,NA,NA,NA,NA,NA,1,43,0.000674635,0,34-120,25,3,3,0,6,2,1996,14-114
NA,NA,NA,NA,NA,NA,0.947368421,64,0.023713489,9,36-118,40,1,3,1,5,8,1996,14-116
NA,NA,NA,NA,NA,NA,0.818181818,56,0.041661811,3,36-118,40,1,4,0,5,11,1997,14-116
NA,NA,NA,NA,NA,NA,0.458333333,31,0.054949903,8,36-118,40,1,5,0,5,16,1998,14-116
NA,NA,NA,NA,NA,NA,0.684210526,37,0.064032492,4,36-118,40,1,6,0,5,22,1999,14-116
NA,NA,NA,NA,NA,NA,0.6875,32,0.070171091,7,36-118,40,1,8,0,5,19,2001,14-116
NA,NA,NA,NA,NA,NA,0.888888889,27,0.075599521,6,36-118,40,1,9,0,5,28,2002,14-116
NA,NA,NA,NA,NA,NA,1,5,0.082609489,4,36-118,40,1,10,0,5,17,2003,14-116
NA,NA,NA,NA,NA,NA,0.777777778,12,0.092751108,3,36-118,40,1,11,0,5,16,2004,14-116
NA,NA,NA,NA,NA,NA,0.333333333,13,0.102997903,4,36-118,40,1,12,0,5,20,2005,14-116
NA,NA,NA,NA,NA,NA,0.368421053,12,0.108579281,0,36-118,40,1,14,0,6,9,2007,14-116
NA,NA,NA,NA,NA,NA,0.925,84,0.104761516,6,36-118,40,1,16,0,5,11,2009,14-116
NA,NA,NA,NA,NA,NA,0.318181818,24,0.090322061,12,36-118,40,1,18,0,5,13,2011,14-116
NA,NA,NA,NA,NA,NA,0.1875,7,0.070224487,2,36-118,40,2,1,1,5,14,1994,14-116
NA,NA,NA,NA,NA,NA,0.95,46,0.050062061,5,36-118,40,2,2,0,5,13,1995,14-116
NA,NA,NA,NA,NA,NA,0.695652174,35,0.034987054,5,34-120,25,4,13,1,7,2,2006,14-118
NA,NA,NA,NA,NA,NA,0.761904762,34,0.025819405,6,34-120,25,5,15,1,6,22,2008,14-118
NA,NA,NA,NA,NA,NA,0.444444444,24,0.020920067,15,34-120,25,5,16,0,6,1,2009,14-118
NA,NA,NA,NA,NA,NA,0.928571429,38,0.018621915,17,34-120,25,5,17,0,5,30,2010,14-118
NA,NA,NA,NA,NA,NA,1,29,0.017332651,21,34-120,25,5,18,0,6,11,2011,14-118
NA,NA,NA,NA,NA,NA,1,27,0.015656322,12,34-120,25,5,19,0,6,16,2012,14-118
NA,NA,NA,NA,NA,NA,1,33,0.012228789,44,34-120,25,5,21,0,6,14,2014,14-118
NA,NA,NA,NA,NA,NA,1,33,0.005714957,43,34-120,25,5,22,0,6,8,2015,14-118
NA,NA,NA,NA,NA,NA,1,46,-0.004732483,25,34-120,25,5,23,0,5,31,2016,14-118
NA,NA,NA,NA,NA,NA,0.25,18,-0.019556086,17,34-120,25,5,24,0,6,21,2017,14-118
NA,NA,NA,NA,NA,NA,0.590909091,39,-0.039186158,27,34-120,25,5,25,0,6,6,2018,14-118
NA,NA,NA,NA,NA,NA,0.75,57,-0.039186158,3,34-120,25,5,26,0,6,8,2019,14-118
