ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
5278,36,1,26,6,latlong,0.875,18,1.12985254,0,40-108,10,1,1,1,6,13,1994,17-1
NA,NA,NA,NA,NA,NA,0.909090909,39,0.934558708,4,40-108,10,1,2,0,6,16,1995,17-1
NA,NA,NA,NA,NA,NA,1,22,0.762890855,0,40-108,10,2,17,1,6,11,2010,17-1
NA,NA,NA,NA,NA,NA,0.8,20,0.613352067,0,40-108,10,2,18,0,6,29,2011,17-1
NA,NA,NA,NA,NA,NA,1,43,0.484453097,0,40-108,10,2,19,0,6,27,2012,17-1
NA,NA,NA,NA,NA,NA,0.894736842,58,0.374958082,1,40-108,10,3,6,1,6,10,1999,17-1
NA,NA,NA,NA,NA,NA,0.909090909,29,0.283936522,0,40-108,10,3,7,0,6,15,2000,17-1
NA,NA,NA,NA,NA,NA,1,33,0.210476096,0,40-108,10,4,13,1,6,28,2006,17-1
NA,NA,NA,NA,NA,NA,1,46,0.153449632,0,40-108,10,4,14,0,7,4,2007,17-1
NA,NA,NA,NA,NA,NA,0.227272727,22,0.110404032,0,40-108,10,4,15,0,7,1,2008,17-1
NA,NA,NA,NA,NA,NA,0.583333333,14,0.078380892,0,40-108,10,5,3,1,6,18,1996,17-1
NA,NA,NA,NA,NA,NA,0.9,29,0.054428051,0,40-108,10,6,20,1,6,11,2013,17-1
NA,NA,NA,NA,NA,NA,1,41,0.036223765,0,40-108,10,6,21,0,6,18,2014,17-1
NA,NA,NA,NA,NA,NA,0.8125,30,0.02255698,0,40-108,10,6,22,0,6,13,2015,17-1
NA,NA,NA,NA,NA,NA,0.789473684,26,0.012329702,0,40-108,10,6,23,0,6,7,2016,17-1
NA,NA,NA,NA,NA,NA,1,16,0.004500655,1,40-108,10,6,24,0,6,14,2017,17-1
NA,NA,NA,NA,NA,NA,1,31,-0.001414221,0,40-108,10,6,25,0,6,14,2018,17-1
NA,NA,NA,NA,NA,NA,0.52,42,-0.005582718,1,40-108,10,6,26,0,6,4,2019,17-1
NA,NA,NA,NA,NA,NA,0.941176471,36,-0.008168167,0,40-108,10,7,4,1,6,11,1997,17-1
NA,NA,NA,NA,NA,NA,0.875,34,-0.008912388,0,40-108,10,7,5,0,6,9,1998,17-1
NA,NA,NA,NA,NA,NA,0.384615385,11,-0.006451148,0,40-108,10,8,9,1,6,14,2002,17-1
NA,NA,NA,NA,NA,NA,0.9,24,0.000759012,0,40-108,10,8,10,0,6,4,2003,17-1
NA,NA,NA,NA,NA,NA,1,33,0.014260105,3,40-108,10,8,11,0,6,3,2004,17-1
NA,NA,NA,NA,NA,NA,1,28,0.03556983,7,40-104,9,1,26,1,6,14,2019,17-112
NA,NA,NA,NA,NA,NA,1,23,0.066185713,19,40-104,9,2,25,1,7,1,2018,17-113
NA,NA,NA,NA,NA,NA,1,16,0.10760467,119,40-104,9,3,24,1,6,29,2017,17-113
NA,NA,NA,NA,NA,NA,0.5,6,0.070206772,97,40-104,9,3,26,0,6,27,2019,17-113
NA,NA,NA,NA,NA,NA,0.222222222,4,0.1214964,3,40-104,9,4,6,1,6,3,1999,17-12
NA,NA,NA,NA,NA,NA,1,29,0.160926778,5,40-104,9,4,7,0,6,15,2000,17-12
NA,NA,NA,NA,NA,NA,1,27,0.189509793,33,40-104,9,4,8,0,6,8,2001,17-12
