ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
4011,35,1,26,6,latlong,0.4,9,1.12985254,0,56-120,33,1,22,1,6,17,2015,11-175
NA,NA,NA,NA,NA,NA,0.272727273,7,0.934558708,2,56-120,33,1,23,0,6,7,2016,11-175
NA,NA,NA,NA,NA,NA,0.647058824,27,0.762890855,0,56-120,33,2,25,1,6,12,2018,11-275
NA,NA,NA,NA,NA,NA,0.5,12,0.613352067,5,56-120,33,2,26,0,6,11,2019,11-275
NA,NA,NA,NA,NA,NA,1,17,0.484453097,2,56-120,33,3,1,1,6,20,1994,Nov-74
NA,NA,NA,NA,NA,NA,0.875,25,0.374958082,2,56-120,33,3,2,0,6,18,1995,Nov-74
NA,NA,NA,NA,NA,NA,0.285714286,11,0.283936522,2,56-120,33,3,3,0,7,1,1996,Nov-74
NA,NA,NA,NA,NA,NA,0.714285714,21,0.210476096,4,56-120,33,3,4,0,6,23,1997,Nov-74
NA,NA,NA,NA,NA,NA,0.833333333,30,0.153449632,1,56-120,33,3,5,0,6,29,1998,Nov-74
NA,NA,NA,NA,NA,NA,0.7,19,0.110404032,3,56-120,33,3,6,0,6,20,1999,Nov-74
NA,NA,NA,NA,NA,NA,0.941176471,38,0.078380892,4,56-120,33,3,7,0,6,22,2000,Nov-74
NA,NA,NA,NA,NA,NA,1,17,0.054428051,0,56-120,33,3,8,0,6,18,2001,Nov-74
NA,NA,NA,NA,NA,NA,0.75,23,0.036223765,2,56-120,33,3,9,0,6,20,2002,Nov-74
NA,NA,NA,NA,NA,NA,0.947368421,40,0.02255698,0,56-120,33,3,10,0,6,25,2003,Nov-74
NA,NA,NA,NA,NA,NA,0.75,7,0.012329702,1,56-120,33,3,11,0,6,19,2004,Nov-74
NA,NA,NA,NA,NA,NA,0.857142857,14,0.004500655,6,56-120,33,3,12,0,6,24,2005,Nov-74
NA,NA,NA,NA,NA,NA,1,11,-0.001414221,0,56-120,33,3,13,0,6,28,2006,Nov-74
NA,NA,NA,NA,NA,NA,0.75,17,-0.005582718,0,56-120,33,3,14,0,6,22,2007,Nov-74
NA,NA,NA,NA,NA,NA,1,8,-0.008168167,2,56-120,33,3,15,0,6,25,2008,Nov-74
NA,NA,NA,NA,NA,NA,0.5,6,-0.008912388,1,56-120,33,3,16,0,6,23,2009,Nov-74
NA,NA,NA,NA,NA,NA,0.882352941,27,-0.006451148,0,56-120,33,3,17,0,6,28,2010,Nov-74
NA,NA,NA,NA,NA,NA,0.777777778,39,0.000759012,0,56-120,33,3,18,0,6,28,2011,Nov-74
NA,NA,NA,NA,NA,NA,0.666666667,2,0.014260105,0,56-120,33,3,19,0,6,21,2012,Nov-74
NA,NA,NA,NA,NA,NA,0.5,6,0.03556983,3,56-120,33,3,20,0,6,23,2013,Nov-74
NA,NA,NA,NA,NA,NA,0.666666667,8,0.066185713,0,56-120,33,3,21,0,6,22,2014,Nov-74
NA,NA,NA,NA,NA,NA,0.875,13,0.10760467,3,56-120,33,3,22,0,6,23,2015,Nov-74
NA,NA,NA,NA,NA,NA,1,15,0.070206772,3,56-120,33,3,23,0,6,19,2016,Nov-74
