ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
22949,129,1,26,6,latlong,0.285714286,5,1.12985254,1,48-124,118,1,7,1,6,4,2000,1-Nov
NA,NA,NA,NA,NA,NA,0.454545455,14,0.934558708,0,48-124,118,2,15,1,6,15,2008,1-Nov
NA,NA,NA,NA,NA,NA,1,22,0.762890855,1,48-124,118,2,16,0,6,14,2009,1-Nov
NA,NA,NA,NA,NA,NA,0.5,18,0.613352067,0,48-124,118,2,17,0,6,20,2010,1-Nov
NA,NA,NA,NA,NA,NA,0.2,2,0.484453097,0,48-124,118,2,19,0,6,10,2012,1-Nov
NA,NA,NA,NA,NA,NA,0.166666667,6,0.374958082,0,48-124,118,2,20,0,7,7,2013,1-Nov
NA,NA,NA,NA,NA,NA,0.833333333,35,0.283936522,0,48-124,118,2,21,0,6,15,2014,1-Nov
NA,NA,NA,NA,NA,NA,1,43,0.210476096,2,48-124,118,3,1,1,6,12,1994,1-Nov
NA,NA,NA,NA,NA,NA,0.444444444,9,0.153449632,1,48-124,118,3,2,0,6,4,1995,1-Nov
NA,NA,NA,NA,NA,NA,0.538461538,26,0.110404032,1,48-124,118,3,3,0,6,9,1996,1-Nov
NA,NA,NA,NA,NA,NA,1,24,0.078380892,0,48-124,118,3,4,0,6,1,1997,1-Nov
NA,NA,NA,NA,NA,NA,1,43,0.054428051,0,48-124,118,3,5,0,6,14,1998,1-Nov
NA,NA,NA,NA,NA,NA,0.526315789,34,0.036223765,0,48-124,118,3,6,0,6,13,1999,1-Nov
NA,NA,NA,NA,NA,NA,0.333333333,20,0.02255698,0,50-122,127,1,1,1,6,25,1994,10-Nov
NA,NA,NA,NA,NA,NA,0.210526316,16,0.012329702,0,50-122,127,1,2,0,6,25,1995,10-Nov
NA,NA,NA,NA,NA,NA,0.25,10,0.004500655,0,50-122,127,1,3,0,6,30,1996,10-Nov
NA,NA,NA,NA,NA,NA,0.142857143,5,-0.001414221,3,50-122,127,1,4,0,7,1,1997,10-Nov
NA,NA,NA,NA,NA,NA,0.684210526,25,-0.005582718,0,50-122,127,1,5,0,6,29,1998,10-Nov
NA,NA,NA,NA,NA,NA,0.666666667,18,-0.008168167,0,50-122,127,1,6,0,6,28,1999,10-Nov
NA,NA,NA,NA,NA,NA,1,27,-0.008912388,0,50-122,127,1,8,0,6,29,2001,10-Nov
NA,NA,NA,NA,NA,NA,1,33,-0.006451148,0,50-122,127,1,9,0,6,25,2002,10-Nov
NA,NA,NA,NA,NA,NA,1,33,0.000759012,0,50-122,127,1,10,0,7,3,2003,10-Nov
NA,NA,NA,NA,NA,NA,0.842105263,41,0.014260105,0,50-122,127,1,11,0,7,6,2004,10-Nov
NA,NA,NA,NA,NA,NA,0.409090909,16,0.03556983,0,50-122,127,1,12,0,7,1,2005,10-Nov
NA,NA,NA,NA,NA,NA,0.6,42,0.066185713,0,50-122,127,1,13,0,6,18,2006,10-Nov
NA,NA,NA,NA,NA,NA,0.647058824,30,0.10760467,0,50-122,127,1,14,0,6,28,2007,10-Nov
NA,NA,NA,NA,NA,NA,0.15,4,0.070206772,0,50-122,127,1,15,0,7,6,2008,10-Nov
NA,NA,NA,NA,NA,NA,0.391304348,22,0.1214964,0,50-122,127,1,16,0,7,2,2009,10-Nov
NA,NA,NA,NA,NA,NA,0.696428571,86,0.160926778,0,50-122,127,1,18,0,6,27,2011,10-Nov
NA,NA,NA,NA,NA,NA,0.720930233,87,0.189509793,0,50-122,127,1,19,0,7,4,2012,10-Nov
NA,NA,NA,NA,NA,NA,0.555555556,44,0.208230478,0,48-124,118,4,22,1,6,23,2015,11-101
NA,NA,NA,NA,NA,NA,0.625,40,0.217186596,0,48-124,118,4,23,0,6,12,2016,11-101
NA,NA,NA,NA,NA,NA,0.730769231,50,0.215406619,0,48-124,118,4,24,0,6,11,2017,11-101
NA,NA,NA,NA,NA,NA,0.363636364,19,0.201855357,1,48-124,118,4,25,0,6,3,2018,11-101
NA,NA,NA,NA,NA,NA,0.846153846,64,0.176225781,0,48-124,118,4,26,0,6,2,2019,11-101
NA,NA,NA,NA,NA,NA,0.88,59,0.142704546,8,50-122,127,2,2,1,6,24,1995,11-Nov
NA,NA,NA,NA,NA,NA,0.619047619,33,0.107190833,8,50-122,127,2,3,0,6,30,1996,11-Nov
NA,NA,NA,NA,NA,NA,0.8125,35,0.075559726,2,50-122,127,2,4,0,6,29,1997,11-Nov
NA,NA,NA,NA,NA,NA,1,34,0.051293298,6,50-122,127,2,5,0,6,21,1998,11-Nov
NA,NA,NA,NA,NA,NA,1,38,0.033657531,5,50-122,127,2,6,0,7,4,1999,11-Nov
NA,NA,NA,NA,NA,NA,1,25,0.021489241,5,50-122,127,2,7,0,6,4,2000,11-Nov
NA,NA,NA,NA,NA,NA,1,31,0.01364366,11,50-122,127,2,8,0,6,17,2001,11-Nov
NA,NA,NA,NA,NA,NA,0.857142857,34,0.009156896,10,50-122,127,2,9,0,6,23,2002,11-Nov
NA,NA,NA,NA,NA,NA,0.727272727,31,0.007167721,3,50-122,127,2,10,0,6,29,2003,11-Nov
NA,NA,NA,NA,NA,NA,0.454545455,18,0.006815186,4,50-122,127,2,11,0,6,20,2004,11-Nov
NA,NA,NA,NA,NA,NA,0.5,5,0.006779346,5,50-122,127,2,12,0,6,19,2005,11-Nov
NA,NA,NA,NA,NA,NA,0.6,19,0.004535855,5,50-122,127,2,13,0,6,11,2006,11-Nov
NA,NA,NA,NA,NA,NA,0.2,7,-0.002634796,5,50-122,127,2,14,0,6,3,2007,11-Nov
NA,NA,NA,NA,NA,NA,0.409090909,23,-0.017399011,6,50-120,126,1,7,1,6,5,2000,20-Nov
NA,NA,NA,NA,NA,NA,0.571428571,11,-0.041531217,2,50-120,126,1,8,0,6,7,2001,20-Nov
NA,NA,NA,NA,NA,NA,0.823529412,65,-0.076065705,3,50-120,126,1,9,0,6,7,2002,20-Nov
NA,NA,NA,NA,NA,NA,0.611111111,43,-0.122014361,3,50-120,126,1,10,0,6,5,2003,20-Nov
NA,NA,NA,NA,NA,NA,0.857142857,49,0.000674635,10,50-120,126,1,12,0,6,4,2005,20-Nov
NA,NA,NA,NA,NA,NA,0.789473684,31,0.023713489,16,50-120,126,1,13,0,6,4,2006,20-Nov
NA,NA,NA,NA,NA,NA,0.947368421,42,0.041661811,11,50-120,126,1,14,0,6,3,2007,20-Nov
NA,NA,NA,NA,NA,NA,0.941176471,41,0.054949903,10,50-120,126,1,15,0,6,15,2008,20-Nov
NA,NA,NA,NA,NA,NA,0.923076923,64,0.064032492,8,50-120,126,1,16,0,6,7,2009,20-Nov
NA,NA,NA,NA,NA,NA,1,64,0.070171091,7,50-120,126,1,17,0,6,6,2010,20-Nov
NA,NA,NA,NA,NA,NA,1,36,0.075599521,11,50-120,126,1,18,0,6,5,2011,20-Nov
NA,NA,NA,NA,NA,NA,1,23,0.082609489,4,50-120,126,1,19,0,6,10,2012,20-Nov
NA,NA,NA,NA,NA,NA,0.909090909,22,0.092751108,1,50-120,126,2,1,1,6,26,1994,20-Nov
NA,NA,NA,NA,NA,NA,1,29,0.102997903,2,50-120,126,2,3,0,7,1,1996,20-Nov
NA,NA,NA,NA,NA,NA,1,16,0.108579281,1,50-120,126,3,20,1,6,15,2013,20-Nov
NA,NA,NA,NA,NA,NA,1,31,0.104761516,4,50-120,126,3,24,0,6,4,2017,20-Nov
NA,NA,NA,NA,NA,NA,0.411764706,16,0.090322061,0,48-124,118,5,26,1,6,9,2019,11-201
NA,NA,NA,NA,NA,NA,0.875,32,0.070224487,2,48-124,118,6,1,1,6,12,1994,11-201
NA,NA,NA,NA,NA,NA,0.307692308,9,0.050062061,1,48-124,118,6,2,0,6,18,1995,11-201
NA,NA,NA,NA,NA,NA,0.363636364,12,0.034987054,3,48-124,118,6,3,0,6,2,1996,11-201
NA,NA,NA,NA,NA,NA,0.6,8,0.025819405,0,48-124,118,6,5,0,6,7,1998,11-201
NA,NA,NA,NA,NA,NA,0.571428571,21,0.020920067,0,48-124,118,6,6,0,6,13,1999,11-201
NA,NA,NA,NA,NA,NA,0.333333333,12,0.018621915,0,48-124,118,6,7,0,6,11,2000,11-201
NA,NA,NA,NA,NA,NA,0.333333333,17,0.017332651,1,48-124,118,6,8,0,6,17,2001,11-201
NA,NA,NA,NA,NA,NA,0.5,15,0.015656322,1,48-124,118,6,9,0,6,9,2002,11-201
NA,NA,NA,NA,NA,NA,0.888888889,19,0.012228789,2,50-120,126,4,1,1,6,18,1994,11-208
NA,NA,NA,NA,NA,NA,0.9,17,0.005714957,3,50-120,126,4,2,0,6,10,1995,11-208
NA,NA,NA,NA,NA,NA,0.875,37,-0.004732483,3,50-120,126,4,3,0,6,22,1996,11-208
NA,NA,NA,NA,NA,NA,0.47826087,18,-0.019556086,1,50-120,126,4,4,0,6,24,1997,11-208
NA,NA,NA,NA,NA,NA,0.555555556,11,-0.039186158,1,50-120,126,4,5,0,6,14,1998,11-208
NA,NA,NA,NA,NA,NA,0.705882353,27,-0.039186158,0,50-120,126,4,6,0,6,27,1999,11-208
NA,NA,NA,NA,NA,NA,0.642857143,21,-0.019556086,1,50-120,126,4,7,0,6,16,2000,11-208
NA,NA,NA,NA,NA,NA,1,51,-0.004732483,1,50-120,126,4,8,0,6,17,2001,11-208
NA,NA,NA,NA,NA,NA,0.954545455,67,0.005714957,3,50-120,126,4,9,0,6,22,2002,11-208
NA,NA,NA,NA,NA,NA,1,48,0.012228789,2,50-120,126,4,10,0,6,8,2003,11-208
NA,NA,NA,NA,NA,NA,1,25,0.015656322,0,50-120,126,4,11,0,6,20,2004,11-208
NA,NA,NA,NA,NA,NA,1,30,0.017332651,1,50-120,126,4,12,0,6,26,2005,11-208
NA,NA,NA,NA,NA,NA,1,21,0.018621915,1,50-120,126,4,13,0,6,20,2006,11-208
NA,NA,NA,NA,NA,NA,1,25,0.020920067,0,50-120,126,4,14,0,6,8,2007,11-208
NA,NA,NA,NA,NA,NA,1,33,0.025819405,0,50-120,126,4,15,0,6,25,2008,11-208
NA,NA,NA,NA,NA,NA,0.875,21,0.034987054,0,50-120,126,4,16,0,6,7,2009,11-208
NA,NA,NA,NA,NA,NA,0.857142857,22,0.050062061,0,50-120,126,4,17,0,6,22,2010,11-208
NA,NA,NA,NA,NA,NA,1,16,0.070224487,0,50-120,126,4,18,0,6,20,2011,11-208
NA,NA,NA,NA,NA,NA,0.875,13,0.090322061,1,50-120,126,4,19,0,6,10,2012,11-208
NA,NA,NA,NA,NA,NA,0.666666667,11,0.104761516,1,50-120,126,4,20,0,6,27,2013,11-208
NA,NA,NA,NA,NA,NA,0.363636364,9,0.108579281,0,50-120,126,4,21,0,6,8,2014,11-208
NA,NA,NA,NA,NA,NA,0.588235294,21,0.102997903,0,50-120,126,4,22,0,6,19,2015,11-208
NA,NA,NA,NA,NA,NA,1,40,0.092751108,0,50-120,126,4,23,0,6,19,2016,11-208
NA,NA,NA,NA,NA,NA,0.529411765,19,0.082609489,0,50-120,126,4,24,0,6,29,2017,11-208
NA,NA,NA,NA,NA,NA,0.7,23,0.075599521,0,50-120,126,4,25,0,6,29,2018,11-208
NA,NA,NA,NA,NA,NA,0.764705882,31,0.070171091,0,50-120,126,4,26,0,6,28,2019,11-208
NA,NA,NA,NA,NA,NA,0.272727273,9,0.064032492,0,50-122,127,3,1,1,6,27,1994,11-210
NA,NA,NA,NA,NA,NA,0.444444444,10,0.054949903,0,50-122,127,3,2,0,6,29,1995,11-210
NA,NA,NA,NA,NA,NA,0.4,21,0.041661811,0,50-122,127,3,3,0,6,28,1996,11-210
NA,NA,NA,NA,NA,NA,0.705882353,28,0.023713489,0,50-122,127,3,4,0,6,30,1997,11-210
NA,NA,NA,NA,NA,NA,0.916666667,29,0.000674635,1,50-122,127,3,5,0,6,28,1998,11-210
NA,NA,NA,NA,NA,NA,1,35,-0.122014361,0,50-122,127,3,6,0,6,29,1999,11-210
NA,NA,NA,NA,NA,NA,1,18,-0.076065705,0,50-122,127,3,7,0,6,27,2000,11-210
NA,NA,NA,NA,NA,NA,1,17,-0.041531217,1,50-122,127,3,8,0,6,28,2001,11-210
NA,NA,NA,NA,NA,NA,1,29,-0.017399011,0,50-122,127,3,9,0,6,26,2002,11-210
NA,NA,NA,NA,NA,NA,1,27,-0.002634796,0,50-122,127,3,10,0,7,6,2003,11-210
NA,NA,NA,NA,NA,NA,1,28,0.004535855,1,50-122,127,3,11,0,7,7,2004,11-210
NA,NA,NA,NA,NA,NA,1,21,0.006779346,0,50-122,127,3,13,0,6,20,2006,11-210
NA,NA,NA,NA,NA,NA,1,12,0.006815186,0,50-122,127,3,14,0,7,4,2007,11-210
NA,NA,NA,NA,NA,NA,0.888888889,15,0.007167721,1,50-122,127,3,15,0,6,23,2008,11-210
NA,NA,NA,NA,NA,NA,0.4,13,0.009156896,0,50-122,127,3,19,0,7,5,2012,11-210
NA,NA,NA,NA,NA,NA,0.647058824,30,0.01364366,4,50-120,126,5,5,1,6,29,1998,11-220
NA,NA,NA,NA,NA,NA,0.5,23,0.021489241,21,50-120,126,6,1,1,6,12,1994,11-220
NA,NA,NA,NA,NA,NA,0.470588235,22,0.033657531,31,50-120,126,6,2,0,6,24,1995,11-220
NA,NA,NA,NA,NA,NA,0.571428571,16,0.051293298,32,50-120,126,6,6,0,6,13,1999,11-220
NA,NA,NA,NA,NA,NA,0.7,19,0.075559726,18,50-120,126,6,7,0,6,18,2000,11-220
NA,NA,NA,NA,NA,NA,0.444444444,7,0.107190833,17,50-120,126,6,8,0,6,14,2001,11-220
NA,NA,NA,NA,NA,NA,0.6,8,0.142704546,22,50-120,126,6,9,0,6,9,2002,11-220
NA,NA,NA,NA,NA,NA,0.583333333,20,0.176225781,17,50-120,126,6,10,0,6,15,2003,11-220
NA,NA,NA,NA,NA,NA,0.904761905,44,0.201855357,21,50-120,126,7,11,1,6,12,2004,11-220
NA,NA,NA,NA,NA,NA,0.9,38,0.215406619,20,50-120,126,7,13,0,6,24,2006,11-220
NA,NA,NA,NA,NA,NA,0.631578947,28,0.217186596,26,50-120,126,7,14,0,6,9,2007,11-220
NA,NA,NA,NA,NA,NA,0.4375,17,0.208230478,26,50-120,126,7,15,0,6,14,2008,11-220
NA,NA,NA,NA,NA,NA,0.263157895,6,0.189509793,24,50-120,126,7,16,0,6,18,2009,11-220
NA,NA,NA,NA,NA,NA,0.588235294,18,0.160926778,37,50-120,126,7,17,0,6,19,2010,11-220
NA,NA,NA,NA,NA,NA,0.5,3,0.1214964,12,50-120,126,7,18,0,7,2,2011,11-220
NA,NA,NA,NA,NA,NA,NA,NA,0.070206772,38,50-120,126,7,21,0,6,7,2014,11-220
NA,NA,NA,NA,NA,NA,NA,NA,0.10760467,5,50-120,126,7,23,0,7,6,2016,11-220
NA,NA,NA,NA,NA,NA,NA,NA,0.066185713,3,50-122,127,4,1,1,6,26,1994,11-311
NA,NA,NA,NA,NA,NA,NA,NA,0.03556983,0,50-122,127,4,2,0,6,27,1995,11-311
NA,NA,NA,NA,NA,NA,NA,NA,0.014260105,3,50-122,127,4,3,0,6,27,1996,11-311
NA,NA,NA,NA,NA,NA,NA,NA,0.000759012,2,50-122,127,4,4,0,6,25,1997,11-311
NA,NA,NA,NA,NA,NA,NA,NA,-0.006451148,2,50-122,127,4,5,0,6,25,1998,11-311
NA,NA,NA,NA,NA,NA,NA,NA,-0.008912388,2,50-122,127,4,6,0,6,27,1999,11-311
NA,NA,NA,NA,NA,NA,NA,NA,-0.008168167,0,48-124,118,7,2,1,6,21,1995,11-402
NA,NA,NA,NA,NA,NA,NA,NA,-0.005582718,0,48-124,118,7,5,0,6,6,1998,11-402
NA,NA,NA,NA,NA,NA,NA,NA,-0.001414221,0,48-124,118,7,6,0,6,20,1999,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.004500655,0,48-124,118,7,7,0,6,3,2000,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.012329702,0,48-124,118,7,8,0,6,17,2001,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.02255698,1,48-124,118,7,9,0,6,2,2002,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.036223765,0,48-124,118,7,10,0,6,8,2003,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.054428051,0,48-124,118,7,11,0,6,20,2004,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.078380892,0,48-124,118,7,12,0,5,28,2005,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.110404032,0,48-124,118,7,13,0,6,18,2006,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.153449632,0,48-124,118,7,14,0,6,3,2007,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.210476096,0,48-124,118,7,15,0,6,1,2008,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.283936522,0,48-124,118,7,16,0,5,31,2009,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.374958082,0,48-124,118,7,18,0,6,12,2011,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.484453097,0,48-124,118,7,19,0,6,3,2012,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.613352067,0,48-124,118,7,20,0,6,2,2013,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.762890855,0,48-124,118,7,21,0,6,1,2014,11-402
NA,NA,NA,NA,NA,NA,NA,NA,0.934558708,0,48-124,118,7,22,0,6,7,2015,11-402
NA,NA,NA,NA,NA,NA,NA,NA,1.12985254,0,48-124,118,7,23,0,6,5,2016,11-402
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,48-124,118,7,24,0,6,11,2017,11-402
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,48-124,118,7,26,0,6,2,2019,11-402
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,8,10,1,7,5,2003,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50-120,126,9,12,1,6,15,2005,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,9,13,0,6,13,2006,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50-120,126,9,14,0,6,12,2007,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,9,15,0,6,12,2008,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,9,16,0,6,11,2009,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-120,126,9,17,0,6,11,2010,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,9,18,0,6,14,2011,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,9,19,0,6,13,2012,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,10,21,1,6,8,2014,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50-120,126,11,1,1,6,21,1994,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,50-120,126,11,2,0,6,15,1995,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,50-120,126,11,3,0,6,22,1996,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-120,126,11,4,0,6,23,1997,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,50-120,126,11,5,0,6,23,1998,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,50-120,126,11,6,0,6,14,1999,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50-120,126,11,7,0,6,20,2000,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,8,50-120,126,11,8,0,6,23,2001,11-408
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-122,127,5,16,1,6,21,2009,11-411
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-122,127,5,17,0,6,13,2010,11-411
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-122,127,5,18,0,7,3,2011,11-411
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-122,127,5,19,0,7,2,2012,11-411
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-122,127,5,20,0,6,23,2013,11-411
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50-122,127,6,24,1,6,25,2017,11-411
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,1,1,6,19,1994,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,2,0,6,24,1995,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,3,0,6,23,1996,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,4,0,6,24,1997,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,5,0,6,21,1998,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,6,0,6,23,1999,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,7,0,6,21,2000,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,8,0,6,21,2001,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,9,0,6,22,2002,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,10,0,6,22,2003,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,11,0,6,24,2004,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,12,0,6,19,2005,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,13,0,6,19,2006,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,14,0,6,24,2007,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-120,126,12,15,0,6,22,2008,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,16,0,6,28,2009,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,17,0,6,26,2010,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,18,0,7,3,2011,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-120,126,12,19,0,6,25,2012,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,21,0,6,8,2014,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,22,0,6,14,2015,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50-120,126,12,23,0,6,12,2016,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-120,126,12,24,0,6,11,2017,11-420
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50-120,126,13,23,1,6,12,2016,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50-120,126,13,24,0,6,11,2017,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50-120,126,13,25,0,6,10,2018,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,14,50-120,126,14,2,1,6,10,1995,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,10,50-120,126,14,3,0,6,9,1996,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,10,50-120,126,14,4,0,6,8,1997,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,11,50-120,126,14,5,0,6,7,1998,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,11,50-120,126,14,6,0,6,13,1999,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,21,50-120,126,14,7,0,6,11,2000,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,16,50-120,126,14,8,0,6,10,2001,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,18,50-120,126,14,9,0,6,10,2002,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,19,50-120,126,14,10,0,6,8,2003,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,9,50-120,126,14,11,0,6,13,2004,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50-120,126,14,12,0,6,12,2005,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,17,50-120,126,14,13,0,6,11,2006,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,12,50-120,126,14,14,0,6,10,2007,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,12,50-120,126,14,15,0,6,8,2008,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,13,50-120,126,14,16,0,6,7,2009,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,10,50-120,126,14,17,0,6,13,2010,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,11,50-120,126,14,18,0,6,12,2011,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,8,50-120,126,14,19,0,6,10,2012,11-608
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50-120,126,14,20,0,6,9,2013,11-608
