ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
33115,208,1,26,6,latlong,0.4,5,1.12985254,0,48-124,122,1,7,1,6,4,2000,1-Nov
NA,NA,NA,NA,NA,NA,0.130434783,7,0.934558708,1,48-124,122,2,15,1,6,15,2008,1-Nov
NA,NA,NA,NA,NA,NA,0.681818182,48,0.762890855,0,48-124,122,2,16,0,6,14,2009,1-Nov
NA,NA,NA,NA,NA,NA,0.625,47,0.613352067,0,48-124,122,2,17,0,6,20,2010,1-Nov
NA,NA,NA,NA,NA,NA,0.375,19,0.484453097,0,48-124,122,2,19,0,6,10,2012,1-Nov
NA,NA,NA,NA,NA,NA,0.222222222,6,0.374958082,0,48-124,122,2,20,0,7,7,2013,1-Nov
NA,NA,NA,NA,NA,NA,0.210526316,12,0.283936522,0,48-124,122,2,21,0,6,15,2014,1-Nov
NA,NA,NA,NA,NA,NA,1,3,0.210476096,0,48-124,122,3,1,1,6,12,1994,1-Nov
NA,NA,NA,NA,NA,NA,0.333333333,24,0.153449632,4,48-124,122,3,2,0,6,4,1995,1-Nov
NA,NA,NA,NA,NA,NA,0.55,25,0.110404032,2,48-124,122,3,3,0,6,9,1996,1-Nov
NA,NA,NA,NA,NA,NA,0.708333333,41,0.078380892,0,48-124,122,3,4,0,6,1,1997,1-Nov
NA,NA,NA,NA,NA,NA,0.727272727,51,0.054428051,1,48-124,122,3,5,0,6,14,1998,1-Nov
NA,NA,NA,NA,NA,NA,0.45,32,0.036223765,1,48-124,122,3,6,0,6,13,1999,1-Nov
NA,NA,NA,NA,NA,NA,0.882352941,39,0.02255698,6,50-122,150,1,1,1,6,25,1994,10-Nov
NA,NA,NA,NA,NA,NA,0.5,24,0.012329702,10,50-122,150,1,2,0,6,25,1995,10-Nov
NA,NA,NA,NA,NA,NA,0.4,7,0.004500655,11,50-122,150,1,3,0,6,30,1996,10-Nov
NA,NA,NA,NA,NA,NA,0.7,30,-0.001414221,11,50-122,150,1,4,0,7,1,1997,10-Nov
NA,NA,NA,NA,NA,NA,0.461538462,12,-0.005582718,9,50-122,150,1,5,0,6,29,1998,10-Nov
NA,NA,NA,NA,NA,NA,0.339285714,41,-0.008168167,0,50-122,150,1,6,0,6,28,1999,10-Nov
NA,NA,NA,NA,NA,NA,0.581395349,70,-0.008912388,5,50-122,150,1,8,0,6,29,2001,10-Nov
NA,NA,NA,NA,NA,NA,0.833333333,69,-0.006451148,1,50-122,150,1,9,0,6,25,2002,10-Nov
NA,NA,NA,NA,NA,NA,0.625,38,0.000759012,3,50-122,150,1,10,0,7,3,2003,10-Nov
NA,NA,NA,NA,NA,NA,1,66,0.014260105,0,50-122,150,1,11,0,7,6,2004,10-Nov
NA,NA,NA,NA,NA,NA,0.863636364,47,0.03556983,1,50-122,150,1,12,0,7,1,2005,10-Nov
NA,NA,NA,NA,NA,NA,0.730769231,54,0.066185713,3,50-122,150,1,13,0,6,18,2006,10-Nov
NA,NA,NA,NA,NA,NA,0.6875,27,0.10760467,3,50-122,150,1,14,0,6,28,2007,10-Nov
NA,NA,NA,NA,NA,NA,0.421052632,13,0.070206772,2,50-122,150,1,15,0,7,6,2008,10-Nov
NA,NA,NA,NA,NA,NA,0.6875,32,0.1214964,5,50-122,150,1,16,0,7,2,2009,10-Nov
NA,NA,NA,NA,NA,NA,1,38,0.160926778,2,50-122,150,1,18,0,6,27,2011,10-Nov
