ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
3618,24,1,26,6,latlong,0.6,21,1.12985254,0,42-90,3,1,26,1,6,12,1993,34-1
NA,NA,NA,NA,NA,NA,0.5625,43,0.934558708,0,42-90,3,2,6,1,6,30,1973,34-1
NA,NA,NA,NA,NA,NA,0.705882353,35,0.762890855,0,42-90,3,2,7,0,6,29,1974,34-1
NA,NA,NA,NA,NA,NA,1,34,0.613352067,1,42-90,3,3,10,1,6,29,1977,34-1
NA,NA,NA,NA,NA,NA,0.944444444,55,0.484453097,1,42-90,3,3,11,0,6,22,1978,34-1
NA,NA,NA,NA,NA,NA,0.785714286,44,0.374958082,0,42-90,3,3,12,0,6,17,1979,34-1
NA,NA,NA,NA,NA,NA,0.818181818,27,0.283936522,0,42-90,3,3,15,0,7,1,1982,34-1
NA,NA,NA,NA,NA,NA,0.625,24,0.210476096,3,42-90,3,3,16,0,6,18,1983,34-1
NA,NA,NA,NA,NA,NA,0.875,46,0.153449632,2,42-90,3,3,17,0,6,26,1984,34-1
NA,NA,NA,NA,NA,NA,0.785714286,53,0.110404032,1,42-90,3,3,18,0,6,23,1985,34-1
NA,NA,NA,NA,NA,NA,1,23,0.078380892,0,42-90,3,3,19,0,7,1,1986,34-1
NA,NA,NA,NA,NA,NA,0.909090909,24,0.054428051,1,42-90,3,3,20,0,6,26,1987,34-1
NA,NA,NA,NA,NA,NA,0.7,36,0.036223765,0,42-90,3,3,21,0,6,30,1988,34-1
NA,NA,NA,NA,NA,NA,1,21,0.02255698,0,42-90,3,3,22,0,6,18,1989,34-1
NA,NA,NA,NA,NA,NA,0.4,5,0.012329702,0,42-90,3,3,23,0,6,28,1990,34-1
NA,NA,NA,NA,NA,NA,0.75,14,0.004500655,1,42-90,3,3,24,0,6,23,1991,34-1
NA,NA,NA,NA,NA,NA,0.916666667,21,-0.001414221,0,42-90,3,3,25,0,6,29,1992,34-1
NA,NA,NA,NA,NA,NA,1,29,-0.005582718,0,42-90,3,4,11,1,6,29,1978,34-10
NA,NA,NA,NA,NA,NA,0.875,20,-0.008168167,0,42-90,3,5,1,1,5,30,1968,34-10
NA,NA,NA,NA,NA,NA,1,14,-0.008912388,0,42-90,3,5,2,0,5,30,1969,34-10
NA,NA,NA,NA,NA,NA,1,14,-0.006451148,0,42-90,3,5,3,0,5,31,1970,34-10
NA,NA,NA,NA,NA,NA,1,20,0.000759012,0,42-90,3,5,4,0,5,29,1971,34-10
NA,NA,NA,NA,NA,NA,0.5,6,0.014260105,0,42-90,3,5,5,0,5,27,1972,34-10
NA,NA,NA,NA,NA,NA,0.8,6,0.03556983,2,42-90,3,5,6,0,5,28,1973,34-10
NA,NA,NA,NA,NA,NA,NA,NA,0.066185713,2,42-90,3,5,7,0,6,2,1974,34-10
NA,NA,NA,NA,NA,NA,NA,NA,0.10760467,0,42-90,3,5,8,0,6,1,1975,34-10
NA,NA,NA,NA,NA,NA,NA,NA,0.070206772,0,42-90,3,5,9,0,6,6,1976,34-10
NA,NA,NA,NA,NA,NA,NA,NA,0.1214964,0,42-90,3,5,10,0,5,30,1977,34-10
NA,NA,NA,NA,NA,NA,NA,NA,0.160926778,0,42-90,3,5,12,0,5,28,1979,34-10
