ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
28566,157,1,26,6,latlong,0.5,15,1.12985254,1,50-114,130,1,26,1,6,23,2019,15-Nov
NA,NA,NA,NA,NA,NA,0.666666667,18,0.934558708,7,50-116,131,1,24,1,6,11,2017,16-Nov
NA,NA,NA,NA,NA,NA,0.666666667,22,0.762890855,9,50-116,131,1,25,0,6,12,2018,16-Nov
NA,NA,NA,NA,NA,NA,0.444444444,11,0.613352067,20,50-116,131,2,2,1,7,5,1995,16-Nov
NA,NA,NA,NA,NA,NA,0.9,19,0.484453097,0,54-124,155,1,10,1,6,4,2003,11-167
NA,NA,NA,NA,NA,NA,0.727272727,32,0.374958082,1,54-124,155,1,11,0,6,9,2004,11-167
NA,NA,NA,NA,NA,NA,0.5,14,0.283936522,0,54-124,155,1,12,0,6,7,2005,11-167
NA,NA,NA,NA,NA,NA,0.578947368,44,0.210476096,0,54-124,155,1,13,0,6,8,2006,11-167
NA,NA,NA,NA,NA,NA,0.954545455,66,0.153449632,0,54-124,155,1,14,0,6,10,2007,11-167
NA,NA,NA,NA,NA,NA,0.875,56,0.110404032,1,54-124,155,1,15,0,6,3,2008,11-167
NA,NA,NA,NA,NA,NA,0.526315789,23,0.078380892,1,54-124,155,1,16,0,6,15,2009,11-167
NA,NA,NA,NA,NA,NA,0.8125,39,0.054428051,1,54-124,155,1,17,0,6,15,2010,11-167
NA,NA,NA,NA,NA,NA,0.666666667,24,0.036223765,0,54-124,155,1,18,0,6,14,2011,11-167
NA,NA,NA,NA,NA,NA,0.666666667,4,0.02255698,0,54-124,155,1,19,0,6,13,2012,11-167
NA,NA,NA,NA,NA,NA,0.555555556,13,0.012329702,1,54-124,155,1,21,0,6,17,2014,11-167
NA,NA,NA,NA,NA,NA,0.238095238,12,0.004500655,0,54-124,155,1,22,0,6,16,2015,11-167
NA,NA,NA,NA,NA,NA,0.275,23,-0.001414221,0,54-124,155,1,23,0,6,21,2016,11-167
NA,NA,NA,NA,NA,NA,0.333333333,22,-0.005582718,0,54-124,155,1,24,0,6,20,2017,11-167
NA,NA,NA,NA,NA,NA,0.304347826,15,-0.008168167,0,54-124,155,2,8,1,6,22,2001,11-167
NA,NA,NA,NA,NA,NA,0.473684211,20,-0.008912388,0,54-124,155,2,9,0,6,9,2002,11-167
NA,NA,NA,NA,NA,NA,0.791666667,46,-0.006451148,8,50-116,131,3,6,1,6,12,1999,17-Nov
NA,NA,NA,NA,NA,NA,0.954545455,62,0.000759012,8,50-116,131,3,7,0,6,27,2000,17-Nov
NA,NA,NA,NA,NA,NA,0.85,64,0.014260105,9,50-116,131,3,9,0,6,23,2002,17-Nov
NA,NA,NA,NA,NA,NA,0.882352941,38,0.03556983,5,50-116,131,3,10,0,6,25,2003,17-Nov
NA,NA,NA,NA,NA,NA,0.4,22,0.066185713,14,50-116,131,3,11,0,6,29,2004,17-Nov
NA,NA,NA,NA,NA,NA,1,18,0.10760467,10,50-116,131,3,13,0,6,18,2006,17-Nov
NA,NA,NA,NA,NA,NA,0.5,21,0.070206772,10,50-116,131,3,14,0,6,19,2007,17-Nov
NA,NA,NA,NA,NA,NA,0.446428571,57,0.1214964,8,50-116,131,3,15,0,6,21,2008,17-Nov
NA,NA,NA,NA,NA,NA,0.76744186,92,0.160926778,7,50-116,131,4,20,1,6,6,2013,17-Nov
NA,NA,NA,NA,NA,NA,0.527777778,44,0.189509793,8,50-116,131,4,21,0,6,23,2014,17-Nov
NA,NA,NA,NA,NA,NA,0.583333333,39,0.208230478,9,50-116,131,4,22,0,6,7,2015,17-Nov
NA,NA,NA,NA,NA,NA,0.884615385,62,0.217186596,7,50-116,131,5,24,1,6,12,2017,17-Nov
NA,NA,NA,NA,NA,NA,0.863636364,48,0.215406619,5,50-116,131,5,25,0,6,13,2018,17-Nov
NA,NA,NA,NA,NA,NA,0.961538462,71,0.201855357,14,50-116,131,5,26,0,6,12,2019,17-Nov
NA,NA,NA,NA,NA,NA,0.76,54,0.176225781,2,56-120,157,1,22,1,6,17,2015,11-175
NA,NA,NA,NA,NA,NA,0.714285714,40,0.142704546,3,56-120,157,1,23,0,6,7,2016,11-175
NA,NA,NA,NA,NA,NA,0.5,22,0.107190833,3,50-118,132,1,22,1,6,15,2015,19-Nov
NA,NA,NA,NA,NA,NA,0.611111111,19,0.075559726,1,50-118,132,1,23,0,6,12,2016,19-Nov
NA,NA,NA,NA,NA,NA,0.4,20,0.051293298,1,50-118,132,1,24,0,6,11,2017,19-Nov
NA,NA,NA,NA,NA,NA,0.3,9,0.033657531,2,50-118,132,1,25,0,6,12,2018,19-Nov
NA,NA,NA,NA,NA,NA,0.714285714,32,0.021489241,2,50-118,132,1,26,0,6,16,2019,19-Nov
NA,NA,NA,NA,NA,NA,1,36,0.01364366,4,50-118,132,2,1,1,6,12,1994,19-Nov
NA,NA,NA,NA,NA,NA,1,33,0.009156896,7,50-118,132,2,2,0,6,18,1995,19-Nov
