ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
17098,167,1,26,6,latlong,0.666666667,19,1.12985254,0,50-122,149,1,14,1,6,27,1981,10-Nov
NA,NA,NA,NA,NA,NA,0.75,7,0.934558708,3,50-122,149,2,2,1,6,8,1969,10-Nov
NA,NA,NA,NA,NA,NA,1,20,0.762890855,3,50-122,149,2,3,0,6,6,1970,10-Nov
NA,NA,NA,NA,NA,NA,0.666666667,17,0.613352067,1,50-122,149,2,4,0,6,6,1971,10-Nov
NA,NA,NA,NA,NA,NA,1,15,0.484453097,0,50-122,149,3,5,1,6,22,1972,10-Nov
NA,NA,NA,NA,NA,NA,0.666666667,18,0.374958082,0,50-122,149,3,6,0,6,9,1973,10-Nov
NA,NA,NA,NA,NA,NA,0.5,10,0.283936522,2,50-122,149,4,7,1,6,30,1974,10-Nov
NA,NA,NA,NA,NA,NA,1,20,0.210476096,0,50-122,149,4,9,0,7,1,1976,10-Nov
NA,NA,NA,NA,NA,NA,1,19,0.153449632,0,50-122,149,4,21,0,7,3,1988,10-Nov
NA,NA,NA,NA,NA,NA,1,19,0.110404032,0,50-122,149,4,22,0,7,2,1989,10-Nov
NA,NA,NA,NA,NA,NA,1,25,0.078380892,0,50-122,149,4,23,0,7,3,1990,10-Nov
NA,NA,NA,NA,NA,NA,0.888888889,17,0.054428051,0,50-122,149,4,24,0,7,6,1991,10-Nov
NA,NA,NA,NA,NA,NA,0.7,17,0.036223765,0,50-122,149,4,25,0,7,5,1992,10-Nov
NA,NA,NA,NA,NA,NA,0.545454545,13,0.02255698,0,50-122,149,4,26,0,7,4,1993,10-Nov
NA,NA,NA,NA,NA,NA,0.9,18,0.012329702,54,50-116,146,1,6,1,6,26,1973,16-Nov
NA,NA,NA,NA,NA,NA,0.777777778,41,0.004500655,22,50-116,146,1,8,0,7,4,1975,16-Nov
NA,NA,NA,NA,NA,NA,0.875,47,-0.001414221,5,50-116,146,2,18,1,6,23,1985,17-Nov
NA,NA,NA,NA,NA,NA,0.875,18,-0.005582718,0,50-118,147,1,11,1,6,17,1978,18-Nov
NA,NA,NA,NA,NA,NA,0.818181818,22,-0.008168167,0,50-118,147,1,12,0,6,23,1979,18-Nov
NA,NA,NA,NA,NA,NA,1,23,-0.008912388,0,50-118,147,1,13,0,6,14,1980,18-Nov
NA,NA,NA,NA,NA,NA,1,18,-0.006451148,0,50-118,147,1,14,0,6,17,1981,18-Nov
NA,NA,NA,NA,NA,NA,1,19,0.000759012,0,50-118,147,1,15,0,6,24,1982,18-Nov
NA,NA,NA,NA,NA,NA,1,18,0.014260105,0,50-118,147,1,16,0,6,21,1983,18-Nov
NA,NA,NA,NA,NA,NA,1,18,0.03556983,0,50-118,147,1,19,0,6,25,1986,18-Nov
NA,NA,NA,NA,NA,NA,0.75,9,0.066185713,0,50-118,147,1,21,0,6,21,1988,18-Nov
NA,NA,NA,NA,NA,NA,0.416666667,12,0.10760467,0,50-118,147,1,22,0,6,18,1989,18-Nov
NA,NA,NA,NA,NA,NA,0.722222222,35,0.070206772,0,50-118,147,1,23,0,6,17,1990,18-Nov
NA,NA,NA,NA,NA,NA,1,64,0.1214964,0,50-118,147,2,2,1,7,3,1969,18-Nov
NA,NA,NA,NA,NA,NA,1,15,0.160926778,0,50-118,147,3,6,1,6,27,1973,18-Nov
NA,NA,NA,NA,NA,NA,0.846153846,25,0.189509793,1,50-118,147,3,7,0,6,17,1974,18-Nov
NA,NA,NA,NA,NA,NA,1,27,0.208230478,0,50-118,147,3,8,0,6,23,1975,18-Nov
NA,NA,NA,NA,NA,NA,1,18,0.217186596,2,50-118,147,3,9,0,6,26,1976,18-Nov
NA,NA,NA,NA,NA,NA,1,23,0.215406619,0,50-118,147,4,20,1,6,21,1987,18-Nov
NA,NA,NA,NA,NA,NA,0.9375,41,0.201855357,10,50-118,147,5,11,1,7,1,1978,19-Nov
NA,NA,NA,NA,NA,NA,0.818181818,20,0.176225781,16,50-118,147,5,13,0,6,19,1980,19-Nov
NA,NA,NA,NA,NA,NA,0.8,22,0.142704546,10,50-118,147,5,14,0,6,17,1981,19-Nov
NA,NA,NA,NA,NA,NA,0.875,14,0.107190833,7,50-118,147,5,15,0,6,28,1982,19-Nov
NA,NA,NA,NA,NA,NA,1,10,0.075559726,6,50-118,147,5,16,0,6,19,1983,19-Nov
