iteration,grid,meancor.lin,mean.mean,mean.var
1,46-102,0.077047859,4.521827815,7.9665858
1,46-104,0.223296659,4.440949848,8.291565335
1,48-102,0.279911191,6.332682382,39.48405197
1,48-104,0.145351311,7.70597985,47.23693689
1,48-106,0.275638459,7.755171257,45.23920544
1,48-108,0.102430836,8.185475062,48.67019341
1,48-110,0.325274145,9.021612765,65.79431221
1,50-104,0.053360079,7.915183068,51.8404606
1,50-106,0.199606752,7.87322998,47.28932778
1,50-108,0.293051972,7.726812367,43.68620623
1,50-110,0.376633197,7.65337051,49.97486078
1,50-112,0.275213185,8.063159875,37.28830268
1,52-106,0.148572424,10.80106054,79.78571947
1,52-110,0.192156795,9.427410574,67.74203423
1,52-112,0.384342671,10.11070679,49.73479521
2,46-102,-0.016745848,3.840219643,9.339384697
2,46-104,0.124754374,3.674818882,8.86755306
2,48-102,0.34114794,5.984394567,26.00909879
2,48-104,-0.022265244,7.645263254,78.72007861
2,48-106,0.349782902,7.585161658,68.26139361
2,48-108,0.06298803,8.035763601,74.22339569
2,48-110,0.446220276,9.04878918,101.8178249
2,50-104,0.098469169,7.979184733,87.72591355
2,50-106,0.454572118,7.720676612,69.79822681
2,50-108,0.344905637,7.576051866,64.37248923
2,50-110,0.427198763,7.590989439,74.40262029
2,50-112,0.123989522,8.0178059,85.98032869
2,52-106,0.131367079,11.13156646,120.0965619
2,52-110,0.028287365,9.564265189,101.2222615
2,52-112,0.34179794,10.31517588,118.8872371
3,46-102,0.095788539,4.096131607,9.963688102
3,46-104,-0.02684944,3.912553019,9.196723197
3,48-102,0.252421624,6.078289008,19.36598192
3,48-104,0.265235704,7.973101136,84.32794682
3,48-106,0.333026408,7.915587632,73.44050398
3,48-108,0.311527013,8.404206365,78.55002422
3,48-110,0.486524226,9.40039832,107.998579
3,50-104,0.025469593,8.260281504,91.7681491
3,50-106,0.33976094,8.060911654,73.43626942
3,50-108,0.356939842,7.923728952,67.88571602
