iteration,grid,meancor.lin,mean.mean,mean.var
1,26-100,0.239343477,30.78982565,356.2651991
1,26-98,0.409369045,30.78982565,356.2651991
1,28-100,0.355716166,28.37783214,250.9804573
1,28-98,0.356945448,24.61757264,256.9577042
1,30-100,0.335757209,30.36480264,894.6737553
1,30-102,0.378633991,39.99606018,1140.062151
1,30-104,0.236871939,39.47979173,1426.290276
1,30-98,0.241261139,27.38081319,163.28245
1,32-100,0.411722102,33.02572632,976.1176889
1,32-102,0.352852259,40.43405499,1099.011916
1,32-104,0.373008952,47.80196989,1455.375532
1,32-106,0.335637008,51.95708263,2082.379465
1,32-108,0.278461284,37.62498268,841.2871065
1,32-98,0.388125878,22.93233103,1186.632052
1,34-100,0.297472819,40.39523076,1332.200095
1,34-102,0.322408648,52.65678498,1367.675141
1,34-104,0.384295333,53.93836818,1513.372676
1,36-100,0.392635068,37.93732503,697.9836
1,36-102,0.473913852,47.66701777,921.9956109
1,36-104,0.392270978,58.06313195,1174.398468
1,38-100,0.359895984,32.26114726,758.791669
1,38-102,0.502881519,35.81049266,630.5184917
1,38-104,0.407984716,38.35851195,699.8589873
1,40-102,0.2928037,29.3795414,847.7483977
1,40-104,0.372297216,35.69381607,1057.932511
2,26-100,0.176800329,30.30360637,449.8681357
2,26-98,0.447768832,30.30360637,449.8681357
2,28-100,0.321841916,28.84943562,359.5787245
2,28-98,0.336415749,24.79596827,323.2058811
2,30-100,0.209547556,31.13947868,548.0146599
2,30-102,0.281704324,38.83266064,673.6447421
2,30-104,0.141629904,38.21172223,681.9049677
2,30-98,0.246337333,27.43463306,310.4424091
2,32-100,0.281547194,31.95263278,477.2542649
2,32-102,0.084073313,41.3052321,962.9356925
2,32-104,0.246358279,48.54742705,1644.860219
2,32-106,0.192941999,52.95978861,2292.933512
2,32-108,-0.108923033,31.19994472,1706.702749
2,32-98,0.259558914,23.55510355,465.1330435
2,34-100,0.409848593,42.61005074,1142.092861
2,34-102,0.242767232,53.80628112,1220.274463
2,34-104,0.205271976,55.92225357,1353.887785
2,36-100,0.316017899,44.64936596,3922.347779
2,36-102,0.470990209,55.42716026,3759.696761
2,36-104,0.345951064,67.8146186,4811.419379
2,38-100,0.533425569,38.1908856,4363.803198
2,38-102,0.322823999,41.61812198,3443.347842
2,38-104,0.378513397,45.29522821,3920.658466
2,40-102,0.430817571,37.5693926,5202.568825
2,40-104,0.331552912,45.80465071,6500.488205
3,26-100,0.516779657,27.49021475,344.8472555
3,26-98,0.517665532,27.49021475,344.8472555
3,28-100,0.482447571,27.21056966,337.8949998
3,28-98,0.503207296,22.67792834,252.4608132
3,30-100,0.313628917,29.55574681,522.1319844
3,30-102,0.09088301,37.307899,643.5718122
3,30-104,0.097767832,37.41823063,725.2258881
3,30-98,0.217304343,26.67273238,307.4885735
3,32-100,0.148340925,30.92403636,486.9648923
3,32-102,-0.004959046,40.42459264,1054.573445
3,32-104,0.072246153,46.26661525,1346.168328
3,32-106,0.19679556,49.63361931,1792.997678
3,32-108,0.313179759,29.4380521,562.8250483
3,32-98,0.269397131,22.4097643,466.4032163
3,34-100,0.208322835,40.90366457,1203.577433
3,34-102,0.328375875,52.50251433,1275.058576
3,34-104,0.199774674,54.57389468,1409.756501
3,36-100,0.319951364,39.72519622,959.0387144
3,36-102,0.305624303,50.98328019,1580.7043
3,36-104,0.394033881,61.83369183,2001.365496
3,38-100,0.250659762,32.57666677,1009.937938
3,38-102,0.316009509,38.15968962,956.7876637
3,38-104,0.1457789,41.27520416,1075.493008
3,40-102,0.131283636,31.34833585,1218.438421
3,40-104,0.117168193,38.12284866,1522.114864
4,26-100,0.095792473,32.96716088,720.5180053
4,26-98,0.450271824,32.96716088,720.5180053
4,28-100,0.331238017,29.72389315,462.4199662
4,28-98,0.384045434,26.37758367,495.9303975
4,30-100,0.2980317,31.52028413,511.2223008
4,30-102,0.106056862,39.96040868,609.0427296
4,30-104,0.311119151,38.60762258,524.4194432
4,30-98,0.052614469,28.58655767,333.037998
4,32-100,0.098133699,31.97636411,319.3255778
4,32-102,0.182201337,40.66372527,533.2067342
4,32-104,0.223377229,46.71585852,692.7253299
4,32-106,0.142114402,50.68751106,921.0463811
4,32-108,-0.026428055,33.0681545,388.020855
4,32-98,0.21361248,23.53352204,341.7708022
4,34-100,0.212098106,40.25818341,556.5756457
4,34-102,0.247170945,51.43814232,627.1004951
4,34-104,0.28176443,53.30122353,675.7113381
4,36-100,0.265576417,38.66031164,981.0315468
4,36-102,0.20393975,49.11887974,1077.638721
4,36-104,0.269719465,59.24036292,1360.057788
4,38-100,0.422624787,32.37983903,1083.798902
4,38-102,0.449340008,36.40531845,920.9454896
4,38-104,0.352516874,39.27624122,1040.327479
4,40-102,0.477136358,31.39572253,1265.463836
4,40-104,0.475108332,38.28333657,1580.118894
5,26-100,0.517705171,27.9383672,210.5666223
5,26-98,0.32694811,27.9383672,210.5666223
5,28-100,0.353954355,27.30019762,234.5920108
5,28-98,0.353290595,22.6414732,163.7902789
5,30-100,0.207942594,31.93895916,638.5076943
5,30-102,0.11969327,39.42842715,735.4261133
5,30-104,-0.02346511,38.87133033,879.4634393
5,30-98,0.03831654,27.74086777,234.8204945
5,32-100,0.310118565,31.68781476,516.4506985
5,32-102,0.13857843,40.63548412,879.7919049
5,32-104,0.231533029,47.02598188,1090.382165
5,32-106,0.025703198,49.93659989,1464.703235
5,32-108,-0.013262485,27.43232063,253.9192315
5,32-98,0.160851416,23.17726035,581.9994694
5,34-100,0.397995752,40.84208166,957.0982551
5,34-102,0.405890692,51.31899828,970.1830701
5,34-104,0.205968241,53.16987634,1071.298288
5,36-100,0.342813297,37.36922699,779.1552071
5,36-102,0.253947564,48.8017152,1209.166729
5,36-104,0.190015547,59.67233151,1538.472692
5,38-100,0.267154525,31.65872904,985.1951073
5,38-102,0.208531835,36.0126598,851.8609364
5,38-104,0.261286908,38.93082189,962.4834736
5,40-102,0.237867213,30.44353942,1169.905508
