iteration,grid,meancor.lin,mean.mean,mean.var
1,42-104,0.054777129,17.75698007,496.1444254
1,44-100,0.190258507,28.93492691,601.0464111
1,44-102,0.096170073,28.93492691,601.0464111
1,44-104,0.068681908,31.33805286,673.1978477
1,44-98,0.022271064,34.56746339,556.8424574
1,46-100,0.109519293,28.86596457,506.5203702
1,46-102,0.07208027,31.96710496,520.5989061
1,46-104,-0.093038822,32.743492,527.4305795
1,46-108,0.060943159,24.78733559,446.2316766
1,46-98,0.12870673,32.41520577,437.0522204
1,48-100,0.10208146,35.10356354,511.4299304
1,48-102,0.163377944,38.97557426,531.9340393
1,48-104,0.161175294,35.64964508,474.3122745
1,48-106,-0.080838895,34.668916,1060.951152
1,48-108,0.003404508,39.62419136,1102.384484
1,48-110,0.078107508,38.07869033,997.6452281
1,48-112,-0.093337718,34.57857047,1037.918031
1,50-108,0.077271896,39.293499,996.5423379
1,50-110,-0.21306026,38.68353727,998.7398688
1,50-112,0.022214481,35.25902328,1039.149502
1,50-114,-0.049901865,38.81210137,1302.052669
1,52-110,0.093230986,41.72617059,1498.853303
2,42-104,-0.019379581,17.72588735,154.1835232
2,44-100,0.087737487,28.71474431,222.4830588
2,44-102,0.092675365,28.71474431,222.4830588
2,44-104,0.095096006,31.17699847,248.2968602
2,44-98,0.193501439,34.82865103,227.947465
2,46-100,0.149009243,28.65996963,192.3842038
2,46-102,0.099123935,31.77234556,219.0080058
2,46-104,0.007580695,32.27172429,220.4645754
2,46-108,0.072794939,29.23958474,2031.161008
2,46-98,0.078664769,32.375627,183.8842479
2,48-100,0.239374176,34.74087025,213.1985315
2,48-102,0.167758263,38.64932157,250.5324435
2,48-104,0.04774662,34.87171165,271.717724
2,48-106,0.042890426,33.47069232,421.2019973
2,48-108,0.042704167,42.38973074,1946.956419
2,48-110,-0.02345483,41.24484376,2092.507366
2,48-112,0.03333387,38.14938913,2290.087058
2,50-108,-0.135798619,42.8407473,2094.649701
2,50-110,0.037204388,41.96621876,2094.11755
2,50-112,0.027248954,38.96093601,2291.898515
2,50-114,0.062115107,44.730912,2935.95976
2,52-110,0.10057342,40.13317276,648.6255225
3,42-104,-0.031032267,16.32305582,233.8898488
3,44-100,0.1754705,27.50726901,223.2588968
3,44-102,0.132551319,27.50726901,223.2588968
3,44-104,0.038090688,29.58820861,247.1558513
3,44-98,0.296009566,32.82098355,253.4508565
3,46-100,0.104090206,27.88144084,197.1679004
3,46-102,0.302365792,31.83723882,269.564238
3,46-104,-0.05691924,32.39004136,274.0399065
3,46-108,-0.014037587,27.12255227,576.9563112
3,46-98,0.17291985,31.42880047,208.3178489
3,48-100,0.127141684,34.28785824,173.8845118
3,48-102,0.274046844,39.42075304,285.3894418
3,48-104,0.066847496,35.94209702,344.6881526
3,48-106,0.090144753,33.10569535,355.5920548
3,48-108,-0.110692553,40.73667609,702.8794508
3,48-110,-0.009213716,39.60451852,726.6477284
3,48-112,-0.054914584,35.13620627,684.2382006
3,50-108,0.042974765,40.85245628,728.6833295
3,50-110,0.018629257,40.24240122,728.1661646
3,50-112,-0.011782775,35.8538243,685.9464412
3,50-114,-0.049848945,39.63454085,718.656136
3,52-110,0.008917826,40.21267311,488.0563314
4,42-104,-0.12241203,16.79579962,188.1746441
4,44-100,0.250752823,30.2893831,479.4634606
4,44-102,0.168606175,30.2893831,479.4634606
4,44-104,0.183180401,32.82722699,537.5554497
4,44-98,0.168785453,37.02252127,615.9241342
4,46-100,0.106502935,30.31215654,405.6631177
