iteration,grid,meancor.lin,mean.mean,mean.var
1,34-104,-0.061981925,3.239732798,1.717238025
1,36-102,-0.00500422,4.288145359,8.540397064
1,36-104,0.218005554,4.288145359,8.540397064
1,38-102,0.408205057,4.786221844,11.08426996
1,42-102,0.109286845,3.796001357,16.04294659
1,42-104,0.026456915,3.796001357,16.04294659
1,42-118,0.181996235,1.839267249,4.094474423
1,42-120,-0.054284108,1.342804657,0.869975296
1,42-122,-0.009193103,1.342804657,0.869975296
1,44-100,0.089851674,3.796001357,16.04294659
1,44-102,-0.042518643,3.796001357,16.04294659
1,44-104,-0.006246951,3.410048107,13.50917779
1,44-112,-0.162874027,4.565553616,11.62915288
1,44-114,0.057748301,4.056191462,9.600355582
1,44-118,-0.07711734,2.235674685,3.73547697
1,46-108,-0.079839271,4.307985901,8.792068711
1,46-112,0.026250766,4.633667717,10.57235916
1,46-120,-0.023658303,2.625317449,1.505300367
1,48-112,-0.003468863,8.289602876,21.054766
1,48-114,-0.044025687,9.651467079,25.09765245
1,50-110,-0.147157231,10.12416649,24.75646997
1,50-112,-0.123782724,10.12416649,24.75646997
2,34-104,0.038762359,3.109654147,1.786671901
2,36-102,0.363423087,4.761055039,11.45766538
2,36-104,0.049567049,4.761055039,11.45766538
2,38-102,0.252144187,5.385507149,14.44282938
2,42-102,0.188890498,3.181954642,2.624118012
2,42-104,0.065097253,3.181954642,2.624118012
2,42-118,-0.088024584,1.657759124,1.986619386
2,42-120,-0.21564361,1.241435496,0.398052717
2,42-122,-0.121418365,1.241435496,0.398052717
2,44-100,-0.144676674,3.181954642,2.624118012
2,44-102,0.075408334,3.181954642,2.624118012
2,44-104,-0.034032507,2.927188553,2.233721816
2,44-112,-0.042345012,4.365677798,5.979133129
2,44-114,-0.054759071,3.863161136,4.98695073
2,44-118,-0.214019591,2.064293098,2.109460942
2,46-108,0.051737189,4.418548044,4.713874877
2,46-112,-0.134543194,4.675405333,5.92778699
2,46-120,-0.086822437,2.592084839,1.353146173
2,48-112,-0.117361407,7.883986778,13.73962556
2,48-114,0.129308249,9.130112513,16.4312025
2,50-110,0.113211607,9.635370853,17.80089958
2,50-112,-0.143648098,9.635370853,17.80089958
3,34-104,0.038226223,3.202119818,1.421219882
3,36-102,0.170055748,4.748401454,10.34378915
3,36-104,-0.083978691,4.748401454,10.34378915
3,38-102,-0.063156657,5.419576391,13.20005625
3,42-102,-0.014951686,3.305658766,3.939953608
3,42-104,0.040243338,3.305658766,3.939953608
3,42-118,-0.045135985,1.740406939,2.921731791
3,42-120,-0.302740298,1.361921255,1.059249137
3,42-122,-0.114074633,1.361921255,1.059249137
3,44-100,0.021347266,3.305658766,3.939953608
3,44-102,-0.156345926,3.305658766,3.939953608
3,44-104,0.004390072,3.098181525,3.514288195
3,44-112,-0.119939641,4.400756351,7.171382124
3,44-114,-0.300802273,3.814650109,5.779454982
3,44-118,-0.031444329,2.104052421,2.863658621
3,46-108,-0.056493596,4.446071211,4.76195642
3,46-112,-0.162675832,4.6124027,5.998804197
3,46-120,-0.011751199,2.480924314,1.366773199
3,48-112,0.057544096,8.365243927,24.16951612
3,48-114,-0.033262907,9.626133649,28.72622712
3,50-110,-0.040335883,10.46442626,34.47016036
3,50-112,0.189687742,10.46442626,34.47016036
4,34-104,0.085771765,3.366028143,2.466707004
4,36-102,0.100379541,5.258771285,23.09119463
4,36-104,-0.121592466,5.258771285,23.09119463
4,38-102,-0.330228203,6.059887717,29.85155792
4,42-102,-0.006051429,3.203829897,3.415610146
4,42-104,-0.097498726,3.203829897,3.415610146
4,42-118,0.147225663,1.915106526,1.954156046
4,42-120,0.156024663,1.450735203,0.53269935
4,42-122,0.129003099,1.450735203,0.53269935
4,44-100,-0.00161257,3.203829897,3.415610146
4,44-102,-0.000334549,3.203829897,3.415610146
4,44-104,0.038853659,2.992021835,2.938737731
4,44-112,-0.126266808,4.701001905,5.640460532
4,44-114,-0.028244724,4.181959098,4.745593093
4,44-118,0.176091785,2.309493449,1.923825377
4,46-108,-0.082205433,4.427422806,4.263375776
4,46-112,0.054944805,4.712304421,4.989068054
4,46-120,0.189279158,2.800666561,1.143007017
4,48-112,0.065420804,7.827507215,13.5173846
4,48-114,0.009903007,9.006412352,16.10998638
4,50-110,0.015467903,9.682586144,19.22541621
4,50-112,-0.067469572,9.682586144,19.22541621
5,34-104,0.06179297,3.283896735,1.794021555
5,36-102,-0.066270686,4.76343772,13.90091826
5,36-104,0.084577184,4.76343772,13.90091826
5,38-102,0.007888054,5.394413783,17.9051547
5,42-102,-0.078567252,3.65097697,10.28515957
5,42-104,-0.073394958,3.65097697,10.28515957
5,42-118,-0.059170621,1.688039336,0.680336032
5,42-120,-0.061593938,1.298091414,0.367544109
5,42-122,-0.087155798,1.298091414,0.367544109
5,44-100,-0.184805497,3.65097697,10.28515957
5,44-102,0.037948737,3.65097697,10.28515957
5,44-104,-0.081544586,3.364917061,8.631480163
5,44-112,-0.221846305,4.136826136,3.032974219
5,44-114,-0.029702926,3.62021771,2.52452027
5,44-118,0.032883036,2.246180405,1.651085369
5,46-108,-0.223926867,4.100098318,3.455629312
5,46-112,-0.088812329,4.346260251,3.297211355
5,46-120,0.180867981,2.803906492,2.464142901
5,48-112,-0.077699331,8.10404065,16.65290616
5,48-114,-0.06063028,9.337925277,19.91087076
5,50-110,-0.052075372,10.0972854,23.17026374
5,50-112,0.0489275,10.0972854,23.17026374
6,34-104,0.268385351,2.95797029,1.36261884
6,36-102,0.152863992,4.590581605,13.79063157
6,36-104,0.199291454,4.590581605,13.79063157
6,38-102,0.213509761,5.310795943,17.99171334
6,42-102,-0.013292116,3.016301733,1.733093837
6,42-104,-0.121014851,3.016301733,1.733093837
6,42-118,-0.130885167,1.634833476,0.86737079
6,42-120,-0.040794236,1.362485909,0.640020435
6,42-122,0.078475715,1.362485909,0.640020435
6,44-100,0.054001397,3.016301733,1.733093837
6,44-102,0.057947518,3.016301733,1.733093837
6,44-104,0.055430625,2.783357384,1.554530997
6,44-112,-0.004301926,4.087513402,2.648877017
6,44-114,-0.047267767,3.697440895,2.339784848
6,44-118,-0.021657547,2.049072042,1.200867451
6,46-108,0.033543309,4.034717023,2.525798282
6,46-112,-0.056672447,4.194395817,2.481414179
6,46-120,0.069906412,2.611392505,1.528005107
6,48-112,0.078933821,8.156850385,17.73566543
6,48-114,-0.060110392,9.464493334,21.15045516
6,50-110,0.139348136,10.24097169,25.30756736
6,50-112,0.128777773,10.24097169,25.30756736
7,34-104,0.20701803,2.930689057,1.026421772
7,36-102,0.038765,4.535867138,17.16540283
7,36-104,0.166809248,4.535867138,17.16540283
7,38-102,0.232196733,5.244991346,22.45048421
7,42-102,0.071440062,3.487195272,4.632423524
7,42-104,-0.029336966,3.487195272,4.632423524
7,42-118,-0.003198693,1.889778918,2.092195749
7,42-120,-0.084736495,1.478878314,0.959378773
7,42-122,0.011470791,1.478878314,0.959378773
7,44-100,-0.000498289,3.487195272,4.632423524
7,44-102,-0.094301064,3.487195272,4.632423524
7,44-104,-0.069588947,3.19753468,3.949143383
7,44-112,-0.123149592,4.383076543,6.026250328
7,44-114,-0.081590655,3.988174392,5.258414253
7,44-118,0.099652846,2.32609285,2.32554779
7,46-108,-0.104595289,4.257663236,4.370103021
7,46-112,0.002779507,4.648225268,6.440534187
7,46-120,0.32608385,2.94139471,2.174515064
7,48-112,0.066243673,7.792056709,12.66077592
7,48-114,0.215019146,9.000621707,15.08638256
7,50-110,0.167754137,9.633281859,16.20785748
7,50-112,0.282840918,9.633281859,16.20785748
8,34-104,0.370780695,3.626695101,4.653703298
8,36-102,0.275673444,4.738083018,10.46229869
8,36-104,0.277763768,4.738083018,10.46229869
8,38-102,0.019435792,5.180331908,12.63042357
8,42-102,-0.128956072,3.454627294,5.709886904
8,42-104,-0.104582616,3.454627294,5.709886904
8,42-118,-0.042274222,1.918254219,5.78008997
8,42-120,-0.101823145,1.294377363,0.364418959
8,42-122,0.010248149,1.294377363,0.364418959
8,44-100,0.076787709,3.454627294,5.709886904
8,44-102,0.028608802,3.454627294,5.709886904
8,44-104,-0.051448108,3.197332586,4.902592374
8,44-112,0.10870404,4.599540138,8.883196094
8,44-114,0.012833953,4.028329552,7.174858752
8,44-118,-0.117845636,2.305587143,5.366363678
8,46-108,0.005149412,4.407900047,4.416324477
8,46-112,0.048250846,4.752673274,8.465359805
8,46-120,0.073101025,2.668820115,1.514420408
8,48-112,0.010063595,8.086901097,16.16311304
8,48-114,0.05615577,9.322109508,19.22251171
8,50-110,0.114911449,10.05562003,23.07624023
8,50-112,0.074641994,10.05562003,23.07624023
9,34-104,-0.179353043,3.216283267,1.621210728
9,36-102,0.049150337,4.853685715,9.989803947
9,36-104,-0.042515678,4.853685715,9.989803947
9,38-102,-0.038589825,5.38333415,12.28922589
9,42-102,0.185141322,3.443314749,7.299484212
9,42-104,0.072701448,3.443314749,7.299484212
9,42-118,0.057946113,1.754382485,1.846987094
9,42-120,-0.12585937,1.320941767,0.676828498
9,42-122,-0.038368098,1.320941767,0.676828498
9,44-100,0.08259893,3.443314749,7.299484212
9,44-102,0.003805709,3.443314749,7.299484212
9,44-104,0.181325044,3.147878696,6.164598784
9,44-112,-0.239604984,4.569135377,5.627018515
9,44-114,-0.022138552,4.011264664,4.811688743
9,44-118,0.042811472,2.316746491,2.876454426
9,46-108,0.04170115,4.352943844,3.992108785
9,46-112,-0.031088237,4.557751411,4.559615061
9,46-120,0.062591428,2.84026747,3.351639497
9,48-112,0.13510111,7.835419372,10.83419336
9,48-114,0.023693426,9.06836356,12.9029977
9,50-110,0.239930804,9.512487271,13.58559655
9,50-112,-0.071637152,9.512487271,13.58559655
10,34-104,-0.386449636,3.188215382,2.160719328
10,36-102,-0.063615295,4.622133956,9.843695517
10,36-104,-0.179658631,4.622133956,9.843695517
10,38-102,0.059506599,5.223184546,12.26857448
10,42-102,-0.053638524,3.430824069,3.413781933
10,42-104,-0.077716627,3.430824069,3.413781933
10,42-118,0.015930325,1.711347867,0.848324695
10,42-120,-0.019790538,1.349882583,0.468785851
10,42-122,-0.049341559,1.349882583,0.468785851
10,44-100,-0.010769322,3.430824069,3.413781933
10,44-102,0.006202492,3.430824069,3.413781933
10,44-104,-0.021577975,3.128004359,3.14408828
10,44-112,-0.123319902,4.597699859,9.895562734
10,44-114,-0.001223962,4.110471331,7.83130261
10,44-118,-0.180729484,2.098187952,1.046709135
10,46-108,0.146080499,4.397950135,8.782980734
10,46-112,-0.164382932,4.614919752,7.81671358
10,46-120,-0.152891094,2.593066459,1.186794593
