iteration,grid,meancor.lin,mean.mean,mean.var
1,46-92,0.089110998,1.514908769,0.568654259
1,46-94,0.26206392,1.514908769,0.568654259
1,48-100,-0.010639285,3.15337971,2.242883026
1,48-94,0.263326328,2.121948013,1.450801429
1,48-96,0.135234518,2.30928462,1.610177335
1,50-100,0.084705424,3.68259188,4.58163854
1,50-102,0.086401893,3.396484476,4.469809843
1,50-96,0.225483736,3.550348867,4.317339943
1,50-98,0.151019219,3.39980439,4.473863167
1,52-100,0.046688259,3.655454782,5.116386193
1,52-102,0.17154423,3.792018732,5.062172676
1,52-104,0.187581517,3.824110395,5.538669426
1,52-106,0.092419814,3.260679158,3.784466459
1,52-108,0.161186776,3.126173841,3.104526065
1,52-112,0.009440373,2.720842093,2.39233589
1,52-114,0.057474621,2.548659731,1.757078398
1,52-98,-0.119978017,3.660291894,5.677671032
1,54-106,-0.043019548,3.439248248,4.194580214
1,54-108,0.127429114,3.184219146,2.894347397
1,54-110,-0.066913286,2.973335819,2.790625838
1,54-112,0.135815064,3.137744988,3.031238537
1,54-114,0.055197884,3.144954491,4.56035507
1,54-116,0.109682299,3.058026635,4.331361494
1,56-118,-0.065701579,4.227491278,7.823478651
2,46-92,0.102179171,1.586527076,1.032053866
2,46-94,0.114469445,1.586527076,1.032053866
2,48-100,0.072327026,3.251679491,3.170456678
2,48-94,0.04756564,2.222369592,2.525077912
2,48-96,0.137127575,2.401079183,2.334214359
2,50-100,0.079040917,3.923627826,5.380599624
2,50-102,0.012646038,3.725863291,6.867311087
2,50-96,0.229144192,3.71390936,5.218202225
2,50-98,0.035891263,3.573930783,4.759982907
2,52-100,0.130668859,3.954850149,6.140063736
2,52-102,-0.035202203,4.269892736,9.853123832
2,52-104,0.061271142,4.259620198,9.618133326
2,52-106,0.067748554,3.650602067,8.376276833
2,52-108,0.264699437,3.476751086,8.056410527
2,52-112,0.24401297,2.690538918,2.356210583
2,52-114,0.184240197,2.486099537,1.655084782
2,52-98,-0.041166196,3.888059629,6.096111139
2,54-106,0.000896973,3.823755763,8.628895986
2,54-108,0.172048597,3.442572512,7.23134718
2,54-110,-0.161375807,3.137072647,6.239766816
2,54-112,0.209773902,3.240448522,5.17703086
2,54-114,0.06271476,3.035560946,3.317579608
2,54-116,0.10354938,2.927092527,3.213015839
2,56-118,-0.317871747,3.887284174,5.471029783
3,46-92,-0.015483443,1.349112678,0.820396728
3,46-94,0.047074034,1.349112678,0.820396728
3,48-100,0.031278702,2.989125113,1.973710083
3,48-94,0.134039995,1.982029411,1.192508644
3,48-96,0.008980766,2.179630988,1.397469752
3,50-100,0.149709955,3.65627541,4.226899192
3,50-102,-0.071377001,3.458632868,4.231255862
3,50-96,0.098733713,3.511943807,4.209542688
3,50-98,0.001744154,3.292791567,3.555871922
3,52-100,-0.026788661,3.733606476,4.594209167
3,52-102,0.071656968,4.002491614,7.37267905
3,52-104,-0.056489692,3.995224088,7.777907896
3,52-106,-0.014274423,3.415095055,6.350658694
3,52-108,0.073082064,3.388854454,6.627322152
3,52-112,0.016685143,2.677934213,2.391797288
3,52-114,0.179717417,2.399648678,1.655972643
3,52-98,0.009452076,3.627268027,4.279506588
3,54-106,-0.055742861,3.589750002,6.733417755
3,54-108,0.057540019,3.427518324,6.221167711
3,54-110,-0.161761834,3.040219755,5.062118712
3,54-112,0.20172409,3.21922679,5.529317001
3,54-114,0.108012507,3.149038697,4.379638582
3,54-116,0.09266006,2.956140884,3.97223863
3,56-118,-0.343090994,4.120564216,7.285866352
4,46-92,-0.087129107,1.403820341,1.175149889
4,46-94,0.142658285,1.403820341,1.175149889
4,48-100,0.013012618,3.023615879,2.991259464
4,48-94,0.200531884,2.095199222,2.41059599
4,48-96,0.052446215,2.241825547,2.212130229
4,50-100,0.16923221,3.713973535,4.061086666
4,50-102,0.048234628,3.478536671,3.423707363
4,50-96,0.237669908,3.550953988,4.050714768
4,50-98,0.114807327,3.31562511,3.464350248
4,52-100,0.190520699,3.813437978,4.353593092
4,52-102,0.079468749,3.895893144,4.179789988
4,52-104,0.004174565,3.936177678,5.057073708
4,52-106,-0.14298548,3.33730989,3.97131044
4,52-108,0.216057323,3.297429772,4.330432546
4,52-112,0.214123758,2.793301274,2.775333969
4,52-114,0.341695339,2.580000904,1.751036089
4,52-98,0.061945472,3.689500952,4.109788526
4,54-106,0.012287451,3.527723241,4.500016265
4,54-108,0.056799968,3.329161447,3.96613841
4,54-110,-0.186971634,3.012123978,3.213425069
4,54-112,0.285885627,3.156483808,3.360219418
4,54-114,0.08760263,3.539786793,20.7225567
4,54-116,0.257820311,3.474037478,22.75017188
4,56-118,-0.086032671,5.083157281,50.46255645
5,46-92,0.016979492,1.588497813,0.701868805
5,46-94,0.032971455,1.588497813,0.701868805
5,48-100,-0.138991539,3.175640631,2.01490108
5,48-94,0.184017927,2.203658882,1.368138578
5,48-96,-0.062797243,2.358807863,1.501650493
5,50-100,0.059016506,3.690120714,3.509129255
5,50-102,0.001957463,3.362334446,3.458914865
5,50-96,0.115756019,3.517584997,3.4884987
5,50-98,0.130296709,3.315781493,3.039798688
5,52-100,0.038952217,3.663379361,3.898568956
5,52-102,-0.075028365,3.873834833,5.745283111
5,52-104,0.050978355,3.975892837,6.26078835
5,52-106,0.076550935,3.390268816,5.106845807
5,52-108,0.129315342,3.327103083,5.221043388
5,52-112,0.186094834,2.66180898,2.401280197
5,52-114,0.215990262,2.454479895,1.629810266
5,52-98,0.034716561,3.524869233,3.765586777
5,54-106,0.102961947,3.577386972,5.433764171
5,54-108,0.24296867,3.339586597,4.834178078
5,54-110,-0.058824417,3.012531244,4.19090353
5,54-112,0.198670277,3.174158014,4.563460154
5,54-114,0.01500096,3.075476451,4.940428979
5,54-116,0.165481412,2.942062853,4.762554074
5,56-118,-0.17111104,3.94575509,8.901032796
6,46-92,0.071129802,1.536698355,0.690785573
6,46-94,0.004488409,1.536698355,0.690785573
6,48-100,0.015570186,3.219163373,2.335814179
6,48-94,0.077305658,2.181053029,1.799827147
6,48-96,0.115197709,2.306563575,1.580205341
6,50-100,-0.071328078,3.762497817,4.319461411
6,50-102,0.035129019,3.475949348,4.277581502
6,50-96,0.152795749,3.533939474,3.533707791
6,50-98,0.144447058,3.374269729,3.218605038
6,52-100,-0.041973063,3.817544928,4.964245971
6,52-102,-0.012318958,3.95584244,5.876951012
6,52-104,-0.170676116,4.025386669,6.255794588
6,52-106,-0.046126336,3.480537489,5.450034611
6,52-108,0.058845847,3.390128983,5.838669702
6,52-112,0.090284611,2.930423216,3.530207164
6,52-114,0.110226611,2.705962676,2.905107094
6,52-98,-0.159726128,3.689992585,4.086496255
6,54-106,0.088536556,3.63708068,6.095841443
6,54-108,0.128428773,3.446998772,5.644258134
6,54-110,-0.041923382,3.139668186,4.39359055
6,54-112,0.29704368,3.344451558,4.840693895
6,54-114,0.262871738,3.525851463,12.24299392
6,54-116,0.23628323,3.389505136,12.85067883
6,56-118,-0.189925466,4.801431035,26.50962698
7,46-92,0.010241612,1.519939493,0.501642496
7,46-94,0.004925087,1.519939493,0.501642496
7,48-100,0.025477886,3.118803889,2.127915872
7,48-94,0.229725319,2.075379229,1.174340815
7,48-96,-0.041271749,2.302233734,1.58485571
7,50-100,0.173626182,3.801503464,4.320747585
7,50-102,0.021488339,3.567257342,4.497686388
7,50-96,0.093405162,3.554446582,4.354192742
7,50-98,0.128560301,3.435008657,3.960527667
7,52-100,0.144835246,3.833990307,4.778660554
7,52-102,0.086592651,4.079111912,5.872971124
7,52-104,0.19354547,4.047233562,5.787665672
7,52-106,0.00019096,3.477631686,3.867822642
7,52-108,0.110729855,3.325242408,3.825635738
7,52-112,0.033719894,2.774337933,2.427385303
7,52-114,0.175128889,2.656833093,2.441544131
7,52-98,0.033919031,3.746709496,4.936427189
7,54-106,-0.032020761,3.688732205,4.362240205
7,54-108,0.101140552,3.356026388,3.772196886
7,54-110,-0.122123365,3.089854089,3.552272431
7,54-112,0.077943354,3.277188707,3.882019636
7,54-114,0.072279125,3.357381865,6.054636965
7,54-116,0.072455866,3.306260148,6.596870986
7,56-118,-0.25783669,4.62827167,12.93541564
8,46-92,0.070109231,1.572900811,1.800994108
8,46-94,0.172451106,1.572900811,1.800994108
8,48-100,0.150958894,3.292882923,3.088758041
8,48-94,0.089134825,2.241345275,2.233610903
8,48-96,-0.05846125,2.422856117,2.273762111
8,50-100,0.098293911,3.96565592,4.859065058
8,50-102,0.232721988,3.744946928,4.443802774
8,50-96,0.074939545,3.951984234,5.449378066
8,50-98,-0.000764042,3.610306786,4.530901211
8,52-100,0.108395806,3.98185485,4.883813114
8,52-102,0.090265427,4.1979541,8.23919314
8,52-104,0.051886628,4.055198338,8.134077541
8,52-106,0.105886881,3.311755923,6.56533555
8,52-108,0.065944028,3.274984645,6.860961934
8,52-112,0.006175788,2.623913485,2.202959249
8,52-114,0.119463621,2.433181,1.698712396
8,52-98,-0.172940773,3.927783429,5.102615087
8,54-106,0.058454579,3.480507266,6.979776566
8,54-108,0.109954151,3.264453375,6.202397084
8,54-110,-0.247302168,2.985306803,5.598554522
8,54-112,0.123133609,3.10458835,6.028275143
8,54-114,-0.032491625,2.969989066,4.125690143
8,54-116,0.113837603,2.869748472,3.978651586
8,56-118,-0.067123614,3.795310307,6.963921618
9,46-92,0.480887096,1.515144626,0.783271648
9,46-94,0.406415973,1.515144626,0.783271648
9,48-100,-0.097025187,3.148009157,2.229606851
9,48-94,0.322484928,2.067679556,1.486163733
9,48-96,0.171908064,2.30738756,1.630074625
9,50-100,0.029771496,3.663926128,5.224334993
9,50-102,0.027010036,3.436955773,5.472872966
9,50-96,0.054604624,3.526743898,5.488759211
9,50-98,0.149520572,3.327586053,4.808469634
9,52-100,0.101667383,3.625832299,5.93894328
9,52-102,0.10901183,3.783651169,6.279022812
9,52-104,0.068764181,3.758588071,4.784569316
9,52-106,0.012419789,3.254148613,3.85357994
9,52-108,-0.002469497,3.302937363,4.262366891
9,52-112,0.110644374,2.863634859,3.308474529
9,52-114,0.154640998,2.678850385,2.939404121
9,52-98,-0.182813728,3.551332214,6.179964518
9,54-106,-0.011350879,3.498888415,4.59161192
9,54-108,-0.062382189,3.305889585,3.913257737
9,54-110,-0.241412968,3.067629624,3.73429446
9,54-112,0.210721222,3.220519633,3.944673045
9,54-114,0.09080526,3.643529581,9.63219319
9,54-116,0.187518733,3.554911299,10.19383627
9,56-118,-0.379718724,5.02330438,19.35147433
10,46-92,0.047276632,1.444228618,0.568410868
10,46-94,0.172907434,1.444228618,0.568410868
10,48-100,0.311996317,3.160722598,2.520740478
10,48-94,0.310144154,2.152010771,1.878567658
10,48-96,0.277150386,2.294610324,1.787178268
10,50-100,0.155310153,3.805533681,4.193251878
10,50-102,-0.013400552,3.605763363,4.214535326
10,50-96,0.251588726,3.522260437,3.689993929
10,50-98,0.211970007,3.448837715,3.36669653
10,52-100,0.054822635,3.901566936,4.836597652
10,52-102,-0.128042811,4.115839211,5.449280482
10,52-104,-0.029362698,4.021861781,4.884083447
10,52-106,0.044133006,3.557332082,4.4791513
10,52-108,0.097631434,3.345362611,4.445798677
10,52-112,0.157411877,2.794394491,2.570861936
10,52-114,0.175748081,2.625156207,2.238391223
10,52-98,-0.097060631,3.835535072,4.338486881
10,54-106,0.011515084,3.714239652,4.802562311
10,54-108,0.052981771,3.362062762,4.186027725
10,54-110,-0.212174091,3.101026059,3.356275342
10,54-112,0.161328202,3.257915447,3.637997838
10,54-114,0.096652444,3.276338676,4.425578724
10,54-116,0.017930534,3.197613346,4.449421223
10,56-118,-0.214233031,4.352145421,7.317312287
11,46-92,0.018268524,1.520120211,0.967966643
11,46-94,0.114876497,1.520120211,0.967966643
11,48-100,-0.057190203,3.089072076,2.415734168
11,48-94,0.190998248,2.064552041,1.598561116
11,48-96,0.074637704,2.258082859,1.622362345
11,50-100,0.095873842,3.742219561,4.580564769
11,50-102,0.016809368,3.482339534,4.41522527
11,50-96,0.184503861,3.511425449,4.174960285
11,50-98,0.111510014,3.321546645,3.708659909
11,52-100,0.056445421,3.768943871,5.084776341
11,52-102,-0.157864701,3.922003718,5.98516746
11,52-104,-0.066834407,4.027204872,7.502594925
11,52-106,0.000772501,3.532062818,7.288700382
11,52-108,0.20524152,3.442410248,7.291057434
11,52-112,-0.041301093,2.94924211,5.718708968
11,52-114,-0.032564615,2.708635958,3.79645581
11,52-98,-0.213428064,3.593018222,4.555146355
11,54-106,0.007587585,3.696814986,7.452926976
11,54-108,0.006147164,3.488880751,7.020934925
11,54-110,-0.115963203,3.146694666,6.192144412
11,54-112,0.204297239,3.343934013,6.808889816
11,54-114,0.128515965,3.350861339,7.257850685
11,54-116,0.092934923,3.152391844,5.452442871
11,56-118,-0.40600019,4.284139813,8.991887557
12,46-92,0.091993165,1.51384966,0.898545955
12,46-94,-0.02928588,1.51384966,0.898545955
12,48-100,0.134577062,3.312619154,2.416721479
12,48-94,0.131859387,2.232968172,1.79826516
12,48-96,0.094948583,2.422120189,1.70834237
12,50-100,0.17410703,4.020322343,7.601087812
12,50-102,0.080657392,3.812937319,8.005544807
12,50-96,0.208574336,4.023083475,8.617474517
12,50-98,0.175185428,3.663081517,7.164403758
12,52-100,-0.023592872,4.101187754,8.820263678
12,52-102,0.01903011,4.314767295,9.732598008
12,52-104,-0.058572907,3.99793956,5.557596518
12,52-106,-0.045397809,3.372050802,6.120394976
12,52-108,0.114200851,3.414945292,6.71750768
12,52-112,-0.192460692,2.819370467,4.618071562
12,52-114,0.074766851,2.784833608,5.306365987
12,52-98,-0.141070839,4.07080115,9.443285586
12,54-106,0.127329395,3.587750715,6.891118895
12,54-108,0.139317398,3.434553427,6.238152111
12,54-110,-0.140305031,3.146423538,5.543534691
12,54-112,0.213213278,3.30163469,6.05316434
12,54-114,0.169562724,3.160458986,6.421349741
12,54-116,0.148239063,3.142653838,6.950034631
12,56-118,-0.198992824,3.9389332,6.921541819
13,46-92,-0.111693383,1.560027807,1.380555852
13,46-94,0.002449542,1.560027807,1.380555852
13,48-100,0.040699979,3.236211944,3.363826855
13,48-94,0.124896698,2.24676461,2.821306154
13,48-96,0.210038769,2.371325728,2.489338638
13,50-100,0.125938586,3.741857939,5.138023726
13,50-102,0.123098074,3.422109633,4.731176518
13,50-96,0.263350013,3.593042868,5.162625911
13,50-98,0.058941797,3.351908152,4.397646363
13,52-100,0.031788416,3.726118277,5.579592948
13,52-102,0.206488245,3.893322765,5.48838974
13,52-104,0.148052055,3.799732572,4.277694421
13,52-106,0.088556772,3.363192419,5.247278835
13,52-108,0.197628878,3.327886201,5.36025457
13,52-112,0.018948182,2.654090524,4.00074635
13,52-114,0.195570351,2.498209355,3.869852804
13,52-98,0.204888761,3.588957435,5.310707174
13,54-106,0.082026834,3.518485867,5.491804552
13,54-108,0.214514146,3.340408237,4.961226629
13,54-110,-0.096190927,2.962277991,4.065387453
13,54-112,0.220005843,3.133709028,4.465226247
13,54-114,-0.000510334,2.983569811,5.833582991
13,54-116,0.098022384,2.869654916,5.88926962
13,56-118,-0.178004933,3.674235462,7.569719575
14,46-92,0.211208567,1.695872565,1.746745739
14,46-94,0.110527543,1.695872565,1.746745739
14,48-100,0.061505585,3.258810204,2.646258149
14,48-94,0.106400626,2.214821136,2.121986712
14,48-96,0.032506762,2.407451223,1.911123257
14,50-100,0.119018191,3.897918743,4.551211238
14,50-102,0.054770403,3.570663217,4.130456668
14,50-96,-0.057401354,3.764259402,4.087613897
14,50-98,0.146227061,3.503153739,3.533057982
14,52-100,0.050402333,3.864017578,4.718328277
14,52-102,0.008709593,4.045482556,4.93166455
14,52-104,0.01571779,4.116857936,5.402765367
14,52-106,0.124912597,3.410822837,4.513464317
14,52-108,-0.152619472,3.361408934,4.765387844
14,52-112,0.221962036,2.804488099,3.017593136
14,52-114,0.336193328,2.548272733,1.826090783
14,52-98,-0.047791757,3.737567475,3.927226551
14,54-106,-0.027905713,3.618875388,4.918346063
14,54-108,0.07999205,3.421706969,4.523125496
14,54-110,-0.023161054,3.073202129,3.283262539
14,54-112,0.299631382,3.260285554,3.58456732
14,54-114,0.142926496,3.158204475,4.842425935
14,54-116,0.195830271,3.056891951,5.004145604
14,56-118,-0.230755099,4.276064842,9.456148923
15,46-92,0.06334056,1.484721268,0.744927148
15,46-94,0.219811245,1.484721268,0.744927148
15,48-100,0.140833959,3.202124988,2.627069486
15,48-94,0.138532284,2.109550191,1.545526574
15,48-96,-0.038118428,2.349359018,1.948284467
15,50-100,0.241993831,3.823020235,5.235971068
15,50-102,0.041375966,3.590022664,5.197198753
15,50-96,0.174725707,3.777753153,5.902125596
15,50-98,0.105982521,3.513407949,4.915526698
15,52-100,0.008646594,3.842873205,5.775461162
15,52-102,0.037426428,4.023855059,7.076969526
15,52-104,-0.058940818,3.911434391,5.828926335
15,52-106,-0.092298539,3.197957709,4.181430305
15,52-108,0.120677457,3.189308856,5.345974981
