iteration,grid,meancor.lin,mean.mean,mean.var
1,42-88,0.140847021,1.543371076,0.411042568
1,42-90,0.149210706,1.427525607,0.399397354
1,44-88,-0.14638418,2.360744084,1.489933329
1,44-90,0.266297112,3.167184728,2.957020673
1,44-92,0.140510613,3.142463702,3.377884623
1,44-94,0.209046785,3.461521288,4.115152072
1,46-90,0.160878919,4.837232597,4.391116663
1,46-92,0.300897471,4.621559216,4.834543471
1,46-94,0.115458265,4.540843461,4.981831188
1,46-96,0.15466339,4.590950237,5.145365682
1,48-100,0.092715926,3.038619611,5.473758371
1,48-92,0.265625548,5.618990003,6.489709869
1,48-94,-0.049566914,5.140144129,6.911329002
1,48-96,0.152416056,4.975246137,6.638072984
1,48-98,0.195310573,4.922890394,6.708831426
1,50-96,-0.018918777,4.422080427,5.52271159
1,50-98,0.118732655,3.71202589,4.389210344
2,42-88,0.108108062,1.49980436,0.600966115
2,42-90,-0.10740954,1.406169215,0.583934893
2,44-88,0.049629503,2.321459371,1.356275775
2,44-90,0.169825872,3.250857838,2.514801739
2,44-92,0.112879804,3.235051049,3.00509909
2,44-94,0.264219749,3.585858997,3.60846235
2,46-90,0.318973765,4.788658553,4.707908483
2,46-92,0.322630974,4.601238826,5.083318972
2,46-94,0.13562313,4.561272569,5.178634872
2,46-96,0.187821311,4.658663496,5.740811507
2,48-100,0.16979279,3.263198667,5.251643472
2,48-92,0.344975717,5.633992192,6.807344314
2,48-94,0.078754566,5.23778649,6.753791232
2,48-96,0.188881738,5.120809958,6.917837537
2,48-98,0.160820556,5.176690611,7.607364601
2,50-96,0.062910139,4.422055716,6.280666226
2,50-98,0.066776844,3.851904918,5.842457562
3,42-88,0.119735592,1.526151223,0.420742514
3,42-90,0.295677425,1.405922362,0.376571532
3,44-88,0.151120042,2.390899096,1.579893119
3,44-90,0.240127189,3.175979037,2.894349725
3,44-92,0.249775541,3.096978071,2.821832877
3,44-94,0.08458981,3.399716312,3.398714707
3,46-90,0.248494138,4.844372064,4.885734119
3,46-92,0.188364701,4.644594188,5.474038819
3,46-94,0.112929414,4.563930659,5.545724472
3,46-96,0.103829849,4.601263923,5.828821814
3,48-100,0.169091724,3.152238924,4.860925672
3,48-92,0.134373882,5.674179004,7.43074154
3,48-94,-0.034781406,5.217929169,6.960178027
3,48-96,0.133157397,5.049205455,6.777775639
3,48-98,0.011570975,5.047087193,6.711033284
3,50-96,0.170950915,4.583597218,6.421166305
3,50-98,-0.00944294,3.934354815,5.24854801
4,42-88,0.034210454,1.509767331,0.516830444
4,42-90,0.074193002,1.44040599,0.529048142
4,44-88,0.048653668,2.326842002,1.707763796
4,44-90,0.246358341,3.155440156,2.769893414
4,44-92,0.022294938,3.215955832,3.538783242
4,44-94,-0.064256598,3.559055725,4.278768889
4,46-90,0.151667113,4.779521754,4.314065697
4,46-92,0.230683282,4.802672382,6.062122384
4,46-94,-0.041832959,4.735093978,6.228975443
4,46-96,0.084516314,4.816587232,6.551203988
4,48-100,-0.036126784,3.507720833,6.600685531
4,48-92,0.031195884,5.879389532,8.090104306
4,48-94,0.030120289,5.352630464,7.44019364
4,48-96,0.1743165,5.217757736,7.261893693
4,48-98,0.147053481,5.257013447,7.711237151
4,50-96,0.14840553,4.631372318,6.153544938
4,50-98,-0.047064253,3.99361945,5.557116447
5,42-88,0.326080254,1.534414916,0.529390028
5,42-90,0.06792679,1.411096395,0.45833405
5,44-88,-0.025498936,2.262907525,1.096666213
5,44-90,0.30302095,3.107399959,3.626582206
5,44-92,0.205298262,3.041515384,3.570673813
5,44-94,0.15353942,3.329472855,4.244220554
5,46-90,0.286650741,4.684520932,5.739650578
5,46-92,0.247430256,4.475192935,5.308414777
5,46-94,-0.007959165,4.417175336,5.532525087
5,46-96,0.121401723,4.452167768,5.888425871
5,48-100,0.043115104,3.306336361,8.489213715
5,48-92,0.127234481,5.462463332,7.106464317
5,48-94,-0.0022578,5.165218812,9.865523694
5,48-96,0.122997407,5.002287564,9.730550421
5,48-98,0.149575931,5.116185734,11.21688501
5,50-96,0.032513965,4.602356184,9.563183509
5,50-98,-0.038604094,3.977908573,8.855429263
6,42-88,0.187229569,1.547736356,0.392857068
6,42-90,0.224596424,1.431335156,0.350914082
6,44-88,0.145311307,2.297565053,1.341782045
6,44-90,0.222302254,3.193906636,3.70460282
6,44-92,0.112400288,3.213656936,3.912359676
6,44-94,0.12240374,3.537540153,4.751705815
6,46-90,0.255315961,4.882431261,5.546508478
6,46-92,0.223101303,4.732607049,5.844484226
6,46-94,0.003021262,4.695315021,5.977706616
6,46-96,0.142675973,4.732768635,6.509123899
6,48-100,0.005696059,3.30519068,6.521306131
6,48-92,0.221214935,5.791096429,7.913110092
6,48-94,0.063530313,5.360932992,8.541234877
6,48-96,0.21390797,5.183120339,8.533819846
6,48-98,0.21410515,5.293446926,9.3706548
6,50-96,0.044618264,4.602783102,7.138213632
6,50-98,0.166388558,3.975357639,6.492946371
7,42-88,0.163773566,1.448640703,0.321121726
7,42-90,0.23040552,1.388891749,0.311399068
7,44-88,0.235420389,2.262629329,1.452724282
7,44-90,0.315300919,3.275022127,4.211971535
7,44-92,0.175756078,3.291000732,4.545992434
7,44-94,0.147969316,3.67941026,5.604877784
7,46-90,0.22794453,4.876147758,6.055494146
7,46-92,0.217481696,4.694561831,6.010450767
7,46-94,-0.060578075,4.631458038,6.122526366
7,46-96,0.181499555,4.686904274,6.661568217
7,48-100,-0.16734342,3.140011057,3.59574766
7,48-92,0.272072351,5.790604559,8.28134464
7,48-94,0.17072351,5.268362805,7.246041999
7,48-96,0.159640017,5.084855604,7.22505655
7,48-98,0.06451888,5.180217044,7.761645493
7,50-96,0.129113082,4.341678557,4.381882571
7,50-98,0.077571981,3.72501603,3.875052258
8,42-88,0.077808914,1.579328087,0.763692149
8,42-90,0.135225178,1.449096083,0.660377265
8,44-88,0.106836567,2.321732475,1.332428798
8,44-90,0.224429723,3.112884647,3.03601277
8,44-92,0.08465424,3.101995157,3.427490477
8,44-94,0.129026346,3.403996352,4.126372842
8,46-90,0.26442596,4.773056942,4.432902576
8,46-92,0.277203822,4.585411636,4.669365038
8,46-94,0.036075355,4.513275981,4.785211835
8,46-96,0.045214376,4.517764662,4.984398173
8,48-100,0.071616038,3.281954566,10.15409198
8,48-92,0.086093431,5.552484309,6.117598575
8,48-94,-0.120610858,5.222047056,9.528183972
8,48-96,0.110591471,5.0493327,9.474957252
8,48-98,0.06209859,5.092134708,11.01773174
8,50-96,0.154408283,4.598694712,9.513600779
8,50-98,-0.05752257,3.915104126,9.057835457
9,42-88,0.140135447,1.603187597,0.537101436
9,42-90,-0.036852631,1.484976903,0.514863619
9,44-88,0.244663211,2.438600615,2.366947935
9,44-90,0.167880434,3.495137185,4.889952034
9,44-92,0.208264969,3.420442605,4.697902887
9,44-94,0.018054023,3.76845517,5.695504019
9,46-90,0.256088751,4.983614819,6.216161868
9,46-92,0.196213992,4.761356362,5.854845606
9,46-94,0.171425722,4.675804711,5.893258546
9,46-96,0.130227014,4.661959093,5.821819158
9,48-100,-0.08667301,3.086470552,2.70808369
9,48-92,0.134233627,5.774821276,7.801674211
9,48-94,0.052476725,5.283635637,6.854858751
9,48-96,0.08218373,5.066461724,6.281081938
9,48-98,0.108379241,5.202891642,6.635871835
9,50-96,0.142261191,4.249404744,3.606518603
9,50-98,0.082025605,3.710308242,3.304224842
10,42-88,0.231448392,1.525903126,0.43562868
10,42-90,-0.049762424,1.39894514,0.383646658
10,44-88,0.201638214,2.267992522,1.015986228
10,44-90,0.283291161,3.120202673,2.214405435
10,44-92,0.170582849,3.077540242,2.43591445
10,44-94,0.003746729,3.377464979,2.884573965
10,46-90,0.237197374,4.721618625,4.206936822
10,46-92,0.259085031,4.490893691,4.312339824
10,46-94,-0.109457992,4.427668233,4.472306115
10,46-96,0.145185672,4.460923484,4.720163194
10,48-100,0.163350353,3.069984313,3.617959933
10,48-92,0.070013708,5.468744735,5.808604335
10,48-94,0.116861029,5.061429155,5.61036761
10,48-96,0.186456863,4.889372688,5.460589647
10,48-98,0.086175259,4.992662446,6.080587267
10,50-96,0.271401259,4.395873043,5.048512244
10,50-98,0.249837177,3.778912576,4.509973317
11,42-88,0.112949602,1.612575443,0.782052444
11,42-90,0.028718257,1.486873241,0.681027033
11,44-88,-0.099743863,2.33590169,1.859094629
11,44-90,0.155106307,3.109723971,2.607626365
11,44-92,0.048242892,3.056342782,2.786020898
11,44-94,0.063142301,3.329770642,3.351658669
11,46-90,0.019366362,4.855309565,6.446908451
11,46-92,0.193200568,4.554346025,5.961012471
11,46-94,-0.008770421,4.473260876,6.217780163
11,46-96,0.023456509,4.500804314,6.41806593
