iteration,grid,meancor.lin,mean.mean,mean.var
1,48-102,-0.114621885,1.722263456,1.1658684
1,50-106,-0.050535935,8.596288935,65.84257234
1,50-110,-0.150841333,12.45025963,162.6246653
1,50-112,0.098009173,16.25380311,226.6724987
1,52-106,-0.202343813,9.888134799,78.82536613
1,52-108,0.097551527,12.45025963,162.6246653
1,52-110,0.044960368,12.45025963,162.6246653
1,52-112,0.206967015,16.25380311,226.6724987
2,48-102,0.005753044,1.541977042,0.808643817
2,50-106,0.214174354,9.491110618,90.86500488
2,50-110,0.19987254,12.14941005,129.2727359
2,50-112,-0.078659496,15.20366793,145.1494228
2,52-106,0.336313029,10.95594652,108.6229532
2,52-108,0.145828152,12.14941005,129.2727359
2,52-110,0.137204281,12.14941005,129.2727359
2,52-112,-0.064305562,15.20366793,145.1494228
3,48-102,-0.088972413,1.711022468,1.210098531
3,50-106,0.024211514,7.992254164,42.39269485
3,50-110,0.007517807,10.82142447,71.59079417
3,50-112,-0.211870573,13.96165388,98.34553039
3,52-106,-0.075133448,9.128128176,50.3811074
3,52-108,-0.017052465,10.82142447,71.59079417
3,52-110,0.03078126,10.82142447,71.59079417
3,52-112,-0.004015156,13.96165388,98.34553039
4,48-102,-0.096759744,1.81319373,1.371107606
4,50-106,-0.021783298,8.141708365,53.52731071
4,50-110,-0.197201742,10.62863024,66.00622449
4,50-112,-0.049247053,13.5839816,90.47370659
4,52-106,0.085504562,9.270002272,63.7129506
4,52-108,-0.012930496,10.62863024,66.00622449
4,52-110,0.148652196,10.62863024,66.00622449
4,52-112,0.024221843,13.5839816,90.47370659
5,48-102,-0.113654774,1.594755113,0.708925271
5,50-106,-0.02535044,7.57928257,30.40390972
5,50-110,-0.035233833,10.63044126,90.04302851
5,50-112,-0.070906617,13.63005986,124.7603609
5,52-106,-0.038909373,8.640922969,36.2299384
5,52-108,-0.050855336,10.63044126,90.04302851
5,52-110,0.028990286,10.63044126,90.04302851
5,52-112,-0.060004361,13.63005986,124.7603609
6,48-102,0.125022429,1.65055583,0.875502955
6,50-106,0.093490726,7.163548796,15.80705127
6,50-110,0.122916112,10.5954758,83.09623434
6,50-112,-0.234286553,13.25123967,111.4112035
6,52-106,0.052041043,8.154844909,18.68743063
6,52-108,0.12863408,10.5954758,83.09623434
6,52-110,0.033140758,10.5954758,83.09623434
6,52-112,0.082438399,13.25123967,111.4112035
7,48-102,0.03940002,1.63208476,1.106736444
